Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,Actual,mvp_prob,FPPG,ManFPPG,ManLo,ManHi,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
41085-54879:Deshaun Watson,41085-54879,QB,Deshaun,Deshaun Watson,Watson,28.36,0.11,22.2781816,20,10,25,11,15500,NE@HOU,HOU,NE,,,
41085-16606:DeAndre Hopkins,41085-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,13.14,0.09,14.72727273,10,10,20,11,14500,NE@HOU,HOU,NE,,,
41085-6498:Tom Brady,41085-6498,QB,Tom,Tom Brady,Brady,25.34,0.12,17.14363653,20,10,30,11,14500,NE@HOU,NE,HOU,,,
41085-7859:Julian Edelman,41085-7859,WR,Julian,Julian Edelman,Edelman,18.9,0.09,13.58000044,15,12,24,11,13000,NE@HOU,NE,HOU,Q,Shoulder,
41085-42028:Will Fuller V,41085-42028,WR,Will,Will Fuller V,Fuller V,1.3,0.09,12.1875,10,1,47,8,12500,NE@HOU,HOU,NE,,,
41085-53640:Sony Michel,41085-53640,RB,Sony,Sony Michel,Michel,4.5,0.09,9.627272866,10,3,10,11,11000,NE@HOU,NE,HOU,,,
41085-28473:Carlos Hyde,41085-28473,RB,Carlos,Carlos Hyde,Hyde,2.7,0.04,9.890909368,12,7,15,11,11000,NE@HOU,HOU,NE,,,
41085-28930:James White,41085-28930,RB,James,James White,White,33.7,0.04,9.280000305,10,1,15,10,10500,NE@HOU,NE,HOU,,,
41085-22018:Mohamed Sanu,41085-22018,WR,Mohamed,Mohamed Sanu,Sanu,2.9,0.06,7.869999695,10,5,15,10,10000,NE@HOU,NE,HOU,Q,Ankle,
41085-29932:Ka'imi Fairbairn,41085-29932,K,Ka'imi,Ka'imi Fairbairn,Fairbairn,4,0.02,7.181818182,9,1,11,11,9500,NE@HOU,HOU,NE,,,
41085-6642:Nick Folk,41085-6642,K,Nick,Nick Folk,Folk,0,0.02,8.666666667,9,1,11,3,9000,NE@HOU,NE,HOU,,,
41085-25813:Phillip Dorsett II,41085-25813,WR,Phillip,Phillip Dorsett II,Dorsett II,2.5,0.06,9.787500381,10,3,15,8,8000,NE@HOU,NE,HOU,Q,Concussion,
41085-69168:N'Keal Harry,41085-69168,WR,N'Keal,N'Keal Harry,Harry,0,0.02,5.400000095,7,1,8,2,8000,NE@HOU,NE,HOU,,,
41085-63634:Jakobi Meyers,41085-63634,WR,Jakobi,Jakobi Meyers,Meyers,6.1,0.02,4.349999905,7,1,10,8,7500,NE@HOU,NE,HOU,,,
