,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index,MVP_ManFPPG,Flex1_ManFPPG,Flex2_ManFPPG,Flex3_ManFPPG,Flex4_ManFPPG,MVP_ManHi,Flex1_ManHi,Flex2_ManHi,Flex3_ManHi,Flex4_ManHi,MVP_ManLo,Flex1_ManLo,Flex2_ManLo,Flex3_ManLo,Flex4_ManLo,Total_ManFPPG,Total_ManHi,Total_ManLo,scoring_index,scoring_type,selection_prob,selection_index,selection_type
0,41085-7859:Julian Edelman,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-6642:Nick Folk,41085-25813:Phillip Dorsett II,60000,4482,22.5,20,20,9,10,36.0,30,25,11,15,18.0,10,10,1,3,81.5,117.0,42.0,20,manfppg,0.0004964147821290679,0,mvp_prob
1,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-22018:Mohamed Sanu,41085-27338:Rex Burkhead,60000,4400,30.0,20,15,10,6,37.5,30,24,15,6,15.0,10,12,5,2,81.0,112.5,44.0,21,manfppg,0.00016034985422740526,1,mvp_prob
2,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-28930:James White,41085-38301:Darren Fells,59500,4390,30.0,20,15,10,5,37.5,30,24,15,4,15.0,10,12,1,2,80.0,110.5,40.0,61,manfppg,0.00016034985422740526,2,mvp_prob
3,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-25813:Phillip Dorsett II,41085-38301:Darren Fells,57000,4576,30.0,20,15,10,5,45.0,25,24,15,4,15.0,10,12,3,2,80.0,113.0,42.0,63,manfppg,0.00017669405424507469,3,mvp_prob
4,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-53640:Sony Michel,41085-28473:Carlos Hyde,41085-69168:N'Keal Harry,60000,5331,30.0,20,10,12,7,45.0,25,10,15,8,15.0,10,3,7,1,79.0,103.0,36.0,144,manfppg,0.00017669405424507469,4,mvp_prob
5,41085-7859:Julian Edelman,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-28930:James White,41085-27457:Kenny Stills,60000,4377,22.5,20,20,10,6,36.0,30,25,15,7,18.0,10,10,1,1,78.5,113.0,40.0,158,manfppg,0.0004964147821290679,5,mvp_prob
6,41085-7859:Julian Edelman,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-6642:Nick Folk,41085-69168:N'Keal Harry,60000,4487,22.5,20,20,9,7,36.0,30,25,11,8,18.0,10,10,1,1,78.5,110.0,40.0,163,manfppg,0.0004964147821290679,6,mvp_prob
7,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-28473:Carlos Hyde,41085-6642:Nick Folk,41085-69168:N'Keal Harry,58000,6066,30.0,20,12,9,7,45.0,25,15,11,8,15.0,10,7,1,1,78.0,104.0,34.0,214,manfppg,0.00017669405424507469,7,mvp_prob
8,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-53640:Sony Michel,41085-28473:Carlos Hyde,41085-27457:Kenny Stills,58500,5356,30.0,20,10,12,6,45.0,25,10,15,7,15.0,10,3,7,1,78.0,102.0,36.0,197,manfppg,0.00017669405424507469,8,mvp_prob
9,41085-25813:Phillip Dorsett II,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-54879:Deshaun Watson,41085-25837:Duke Johnson,58500,4548,15.0,20,15,20,8,22.5,30,24,25,10,4.5,10,12,10,2,78.0,111.5,38.5,190,manfppg,0.0009874917709019092,9,mvp_prob
10,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-29932:Ka'imi Fairbairn,41085-6642:Nick Folk,41085-25813:Phillip Dorsett II,56500,7235,30.0,20,9,9,10,37.5,30,11,11,15,15.0,10,1,1,3,78.0,104.5,30.0,167,manfppg,0.00016034985422740526,10,mvp_prob
11,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-53640:Sony Michel,41085-28930:James White,41085-63634:Jakobi Meyers,59000,5390,30.0,20,10,10,7,37.5,30,10,15,10,15.0,10,3,1,1,77.0,102.5,30.0,264,manfppg,0.00016034985422740526,11,mvp_prob
12,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-42028:Will Fuller V,41085-29932:Ka'imi Fairbairn,41085-25837:Duke Johnson,59500,4956,30.0,20,10,9,8,45.0,25,47,11,10,15.0,10,1,1,2,77.0,138.0,29.0,296,manfppg,0.00017669405424507469,12,mvp_prob
13,41085-53640:Sony Michel,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-28473:Carlos Hyde,41085-25813:Phillip Dorsett II,60000,5327,15.0,20,20,12,10,15.0,30,25,15,15,4.5,10,10,7,3,77.0,100.0,34.5,341,manfppg,0.0027829313543599257,13,mvp_prob
14,41085-7859:Julian Edelman,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-25837:Duke Johnson,41085-27338:Rex Burkhead,57500,4672,22.5,20,20,8,6,36.0,30,25,10,6,18.0,10,10,2,2,76.5,107.0,42.0,393,manfppg,0.0004964147821290679,14,mvp_prob
15,41085-7859:Julian Edelman,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-29932:Ka'imi Fairbairn,41085-7870:Ben Watson,59500,4452,22.5,20,20,9,5,36.0,30,25,11,7,18.0,10,10,1,1,76.5,109.0,40.0,397,manfppg,0.0004964147821290679,15,mvp_prob
16,41085-29932:Ka'imi Fairbairn,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-54879:Deshaun Watson,41085-25837:Duke Johnson,60000,4443,13.5,20,15,20,8,16.5,30,24,25,10,1.5,10,12,10,2,76.5,105.5,35.5,399,manfppg,0.000728862973760933,16,mvp_prob
17,41085-25813:Phillip Dorsett II,41085-6498:Tom Brady,41085-28473:Carlos Hyde,41085-29932:Ka'imi Fairbairn,41085-54879:Deshaun Watson,58500,6009,15.0,20,12,9,20,22.5,30,15,11,25,4.5,10,7,1,10,76.0,103.5,32.5,484,manfppg,0.0009874917709019092,17,mvp_prob
18,41085-54879:Deshaun Watson,41085-16606:DeAndre Hopkins,41085-6498:Tom Brady,41085-25813:Phillip Dorsett II,41085-27457:Kenny Stills,59000,65,30.0,10,20,10,6,37.5,20,30,15,7,15.0,10,10,3,1,76.0,109.5,39.0,543,manfppg,0.00016034985422740526,18,mvp_prob
19,41085-25813:Phillip Dorsett II,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-54879:Deshaun Watson,41085-27338:Rex Burkhead,58000,4553,15.0,20,15,20,6,22.5,30,24,25,6,4.5,10,12,10,2,76.0,107.5,38.5,440,manfppg,0.0009874917709019092,19,mvp_prob
20,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-22018:Mohamed Sanu,41085-29932:Ka'imi Fairbairn,41085-63634:Jakobi Meyers,57000,6860,30.0,20,10,9,7,37.5,30,15,11,10,15.0,10,5,1,1,76.0,103.5,32.0,451,manfppg,0.00016034985422740526,20,mvp_prob
21,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-28473:Carlos Hyde,41085-25837:Duke Johnson,41085-27457:Kenny Stills,55000,6261,30.0,20,12,8,6,45.0,25,15,10,7,15.0,10,7,2,1,76.0,102.0,35.0,424,manfppg,0.00017669405424507469,21,mvp_prob
22,41085-6642:Nick Folk,41085-6498:Tom Brady,41085-28473:Carlos Hyde,41085-22018:Mohamed Sanu,41085-54879:Deshaun Watson,60000,5944,13.5,20,12,10,20,16.5,30,15,15,25,1.5,10,7,5,10,75.5,101.5,33.5,563,manfppg,0.0006377551020408164,22,mvp_prob
23,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-42028:Will Fuller V,41085-28930:James White,41085-25813:Phillip Dorsett II,59500,8775,30.0,15,10,10,10,37.5,24,47,15,15,15.0,12,1,1,3,75.0,138.5,32.0,714,manfppg,0.00016034985422740526,23,mvp_prob
24,41085-25813:Phillip Dorsett II,41085-6498:Tom Brady,41085-53640:Sony Michel,41085-22018:Mohamed Sanu,41085-54879:Deshaun Watson,59000,5444,15.0,20,10,10,20,22.5,30,10,15,25,4.5,10,3,5,10,75.0,102.5,32.5,786,manfppg,0.0009874917709019092,24,mvp_prob
25,41085-53640:Sony Michel,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-28473:Carlos Hyde,41085-25837:Duke Johnson,59500,5342,15.0,20,20,12,8,15.0,30,25,15,10,4.5,10,10,7,2,75.0,95.0,33.5,770,manfppg,0.0027829313543599257,25,mvp_prob
26,41085-28473:Carlos Hyde,41085-6498:Tom Brady,41085-53640:Sony Michel,41085-54879:Deshaun Watson,41085-63634:Jakobi Meyers,59500,5338,18.0,20,10,20,7,22.5,30,10,25,10,10.5,10,3,10,1,75.0,97.5,34.5,767,manfppg,0.0004342162396873644,26,mvp_prob
27,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-42028:Will Fuller V,41085-25813:Phillip Dorsett II,41085-7870:Ben Watson,57500,5071,30.0,20,10,10,5,45.0,25,47,15,7,15.0,10,1,3,1,75.0,139.0,30.0,734,manfppg,0.00017669405424507469,27,mvp_prob
28,41085-25813:Phillip Dorsett II,41085-6498:Tom Brady,41085-53640:Sony Michel,41085-28930:James White,41085-54879:Deshaun Watson,59500,5384,15.0,20,10,10,20,22.5,30,10,15,25,4.5,10,3,1,10,75.0,102.5,28.5,730,manfppg,0.0009874917709019092,28,mvp_prob
29,41085-22018:Mohamed Sanu,41085-6498:Tom Brady,41085-28930:James White,41085-54879:Deshaun Watson,41085-25813:Phillip Dorsett II,58500,6403,15.0,20,10,20,10,22.5,30,15,25,15,7.5,10,1,10,3,75.0,107.5,31.5,708,manfppg,0.001457725947521866,29,mvp_prob
30,41085-22018:Mohamed Sanu,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-54879:Deshaun Watson,41085-7870:Ben Watson,60000,4408,15.0,20,15,20,5,22.5,30,24,25,7,7.5,10,12,10,1,75.0,108.5,40.5,615,manfppg,0.001457725947521866,30,mvp_prob
31,41085-54879:Deshaun Watson,41085-16606:DeAndre Hopkins,41085-6498:Tom Brady,41085-63634:Jakobi Meyers,41085-25837:Duke Johnson,59500,135,30.0,10,20,7,8,37.5,20,30,10,10,15.0,10,10,1,2,75.0,107.5,38.0,607,manfppg,0.00016034985422740526,31,mvp_prob
32,41085-53640:Sony Michel,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-54879:Deshaun Watson,41085-38301:Darren Fells,60000,4358,15.0,20,15,20,5,15.0,30,24,25,4,4.5,10,12,10,2,75.0,98.0,38.5,605,manfppg,0.0027829313543599257,32,mvp_prob
33,41085-28473:Carlos Hyde,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-6642:Nick Folk,41085-25837:Duke Johnson,57500,6077,18.0,20,20,9,8,22.5,30,25,11,10,10.5,10,10,1,2,75.0,98.5,33.5,599,manfppg,0.0004342162396873644,33,mvp_prob
34,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-6642:Nick Folk,41085-25813:Phillip Dorsett II,41085-27338:Rex Burkhead,54000,7580,30.0,20,9,10,6,37.5,30,11,15,6,15.0,10,1,3,2,75.0,99.5,31.0,589,manfppg,0.00016034985422740526,34,mvp_prob
35,41085-7859:Julian Edelman,41085-6498:Tom Brady,41085-28473:Carlos Hyde,41085-28930:James White,41085-25813:Phillip Dorsett II,57000,52206,22.5,20,12,10,10,36.0,30,15,15,15,18.0,10,7,1,3,74.5,111.0,39.0,803,manfppg,0.0004964147821290679,35,mvp_prob
36,41085-38301:Darren Fells,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-28473:Carlos Hyde,41085-54879:Deshaun Watson,60000,4369,7.5,20,15,12,20,6.0,30,24,15,25,3.0,10,12,7,10,74.5,100.0,42.0,808,manfppg,0.002915451895043732,36,mvp_prob
37,41085-7859:Julian Edelman,41085-54879:Deshaun Watson,41085-28473:Carlos Hyde,41085-22018:Mohamed Sanu,41085-25813:Phillip Dorsett II,57500,9951,22.5,20,12,10,10,36.0,25,15,15,15,18.0,10,7,5,3,74.5,106.0,43.0,801,manfppg,0.0004964147821290679,37,mvp_prob
38,41085-6642:Nick Folk,41085-6498:Tom Brady,41085-28473:Carlos Hyde,41085-29932:Ka'imi Fairbairn,41085-54879:Deshaun Watson,59500,6004,13.5,20,12,9,20,16.5,30,15,11,25,1.5,10,7,1,10,74.5,97.5,29.5,802,manfppg,0.0006377551020408164,38,mvp_prob
39,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-53640:Sony Michel,41085-25837:Duke Johnson,41085-27457:Kenny Stills,55000,5756,30.0,20,10,8,6,45.0,25,10,10,7,15.0,10,3,2,1,74.0,97.0,31.0,900,manfppg,0.00017669405424507469,39,mvp_prob
40,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-6642:Nick Folk,41085-63634:Jakobi Meyers,41085-25837:Duke Johnson,54000,7660,30.0,20,9,7,8,37.5,30,11,10,10,15.0,10,1,1,2,74.0,98.5,29.0,1022,manfppg,0.00016034985422740526,40,mvp_prob
41,41085-22018:Mohamed Sanu,41085-6498:Tom Brady,41085-28473:Carlos Hyde,41085-54879:Deshaun Watson,41085-63634:Jakobi Meyers,58500,5958,15.0,20,12,20,7,22.5,30,15,25,10,7.5,10,7,10,1,74.0,102.5,35.5,1011,manfppg,0.001457725947521866,41,mvp_prob
42,41085-25813:Phillip Dorsett II,41085-6498:Tom Brady,41085-28930:James White,41085-29932:Ka'imi Fairbairn,41085-54879:Deshaun Watson,58000,6464,15.0,20,10,9,20,22.5,30,15,11,25,4.5,10,1,1,10,74.0,103.5,26.5,984,manfppg,0.0009874917709019092,42,mvp_prob
43,41085-22018:Mohamed Sanu,41085-6498:Tom Brady,41085-28930:James White,41085-54879:Deshaun Watson,41085-6642:Nick Folk,59500,6398,15.0,20,10,20,9,22.5,30,15,25,11,7.5,10,1,10,1,74.0,103.5,29.5,978,manfppg,0.001457725947521866,43,mvp_prob
44,41085-28930:James White,41085-6498:Tom Brady,41085-28473:Carlos Hyde,41085-54879:Deshaun Watson,41085-63634:Jakobi Meyers,59000,5898,15.0,20,12,20,7,22.5,30,15,25,10,1.5,10,7,10,1,74.0,102.5,29.5,824,manfppg,0.0011031439602868175,44,mvp_prob
45,41085-25813:Phillip Dorsett II,41085-6498:Tom Brady,41085-28930:James White,41085-6642:Nick Folk,41085-54879:Deshaun Watson,57500,6519,15.0,20,10,9,20,22.5,30,15,11,25,4.5,10,1,1,10,74.0,103.5,26.5,971,manfppg,0.0009874917709019092,45,mvp_prob
46,41085-22018:Mohamed Sanu,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-6642:Nick Folk,41085-25813:Phillip Dorsett II,57000,6907,15.0,20,20,9,10,22.5,30,25,11,15,7.5,10,10,1,3,74.0,103.5,31.5,963,manfppg,0.001457725947521866,46,mvp_prob
47,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-53640:Sony Michel,41085-6642:Nick Folk,41085-25813:Phillip Dorsett II,56500,9540,30.0,15,10,9,10,37.5,24,10,11,15,15.0,12,3,1,3,74.0,97.5,34.0,956,manfppg,0.00016034985422740526,47,mvp_prob
48,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-53640:Sony Michel,41085-22018:Mohamed Sanu,41085-29932:Ka'imi Fairbairn,58000,51875,30.0,15,10,10,9,45.0,24,10,15,11,15.0,12,3,5,1,74.0,105.0,36.0,908,manfppg,0.00017669405424507469,48,mvp_prob
49,41085-28930:James White,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-22018:Mohamed Sanu,41085-6642:Nick Folk,59500,6397,15.0,20,20,10,9,22.5,30,25,15,11,1.5,10,10,5,1,74.0,103.5,27.5,977,manfppg,0.0011031439602868175,49,mvp_prob
50,41085-42028:Will Fuller V,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-29932:Ka'imi Fairbairn,41085-25813:Phillip Dorsett II,60000,4942,15.0,20,20,9,10,70.5,30,25,11,15,1.5,10,10,1,3,74.0,151.5,25.5,885,manfppg,0.006559766763848398,50,mvp_prob
51,41085-53640:Sony Michel,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-22018:Mohamed Sanu,41085-6642:Nick Folk,60000,5437,15.0,20,20,10,9,15.0,30,25,15,11,4.5,10,10,5,1,74.0,96.0,30.5,867,manfppg,0.0027829313543599257,51,mvp_prob
52,41085-25813:Phillip Dorsett II,41085-6498:Tom Brady,41085-53640:Sony Michel,41085-29932:Ka'imi Fairbairn,41085-54879:Deshaun Watson,58500,5504,15.0,20,10,9,20,22.5,30,10,11,25,4.5,10,3,1,10,74.0,98.5,28.5,861,manfppg,0.0009874917709019092,52,mvp_prob
53,41085-53640:Sony Michel,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-29932:Ka'imi Fairbairn,41085-25813:Phillip Dorsett II,58500,5502,15.0,20,20,9,10,15.0,30,25,11,15,4.5,10,10,1,3,74.0,96.0,28.5,857,manfppg,0.0027829313543599257,53,mvp_prob
54,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-22018:Mohamed Sanu,41085-29932:Ka'imi Fairbairn,41085-25813:Phillip Dorsett II,55000,53035,30.0,15,10,9,10,45.0,24,15,11,15,15.0,12,5,1,3,74.0,110.0,36.0,850,manfppg,0.00017669405424507469,54,mvp_prob
55,41085-42028:Will Fuller V,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-6642:Nick Folk,41085-25813:Phillip Dorsett II,59500,4997,15.0,20,20,9,10,70.5,30,25,11,15,1.5,10,10,1,3,74.0,151.5,25.5,845,manfppg,0.006559766763848398,55,mvp_prob
56,41085-27338:Rex Burkhead,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-22018:Mohamed Sanu,41085-54879:Deshaun Watson,60000,4404,9.0,20,15,10,20,9.0,30,24,15,25,3.0,10,12,5,10,74.0,103.0,40.0,840,manfppg,0.004081632653061225,56,mvp_prob
57,41085-28930:James White,41085-6498:Tom Brady,41085-28473:Carlos Hyde,41085-54879:Deshaun Watson,41085-69168:N'Keal Harry,59500,5893,15.0,20,12,20,7,22.5,30,15,25,8,1.5,10,7,10,1,74.0,100.5,29.5,836,manfppg,0.0011031439602868175,57,mvp_prob
58,41085-25813:Phillip Dorsett II,41085-6498:Tom Brady,41085-42028:Will Fuller V,41085-29932:Ka'imi Fairbairn,41085-54879:Deshaun Watson,60000,4944,15.0,20,10,9,20,22.5,30,47,11,25,4.5,10,1,1,10,74.0,135.5,26.5,877,manfppg,0.0009874917709019092,58,mvp_prob
59,41085-6642:Nick Folk,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-54879:Deshaun Watson,41085-38301:Darren Fells,58000,4528,13.5,20,15,20,5,16.5,30,24,25,4,1.5,10,12,10,2,73.5,99.5,35.5,1111,manfppg,0.0006377551020408164,59,mvp_prob
60,41085-7859:Julian Edelman,41085-6498:Tom Brady,41085-28473:Carlos Hyde,41085-6642:Nick Folk,41085-25813:Phillip Dorsett II,55500,52386,22.5,20,12,9,10,36.0,30,15,11,15,18.0,10,7,1,3,73.5,107.0,39.0,1122,manfppg,0.0004964147821290679,60,mvp_prob
61,41085-7859:Julian Edelman,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-27338:Rex Burkhead,41085-7870:Ben Watson,57000,4707,22.5,20,20,6,5,36.0,30,25,6,7,18.0,10,10,2,1,73.5,104.0,41.0,1089,manfppg,0.0004964147821290679,61,mvp_prob
62,41085-29932:Ka'imi Fairbairn,41085-6498:Tom Brady,41085-42028:Will Fuller V,41085-54879:Deshaun Watson,41085-25813:Phillip Dorsett II,60000,4943,13.5,20,10,20,10,16.5,30,47,25,15,1.5,10,1,10,3,73.5,133.5,25.5,1093,manfppg,0.000728862973760933,62,mvp_prob
63,41085-29932:Ka'imi Fairbairn,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-54879:Deshaun Watson,41085-57338:Jordan Akins,59000,4468,13.5,20,15,20,5,16.5,30,24,25,4,1.5,10,12,10,2,73.5,99.5,35.5,1081,manfppg,0.000728862973760933,63,mvp_prob
64,41085-25813:Phillip Dorsett II,41085-16606:DeAndre Hopkins,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-25837:Duke Johnson,60000,53,15.0,10,20,20,8,22.5,20,30,25,10,4.5,10,10,10,2,73.0,107.5,36.5,1363,manfppg,0.0009874917709019092,64,mvp_prob
65,41085-16606:DeAndre Hopkins,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-25813:Phillip Dorsett II,41085-25837:Duke Johnson,60000,51,15.0,20,20,10,8,30.0,25,30,15,10,15.0,10,10,3,2,73.0,110.0,40.0,1362,manfppg,0.04591836734693878,65,mvp_prob
66,41085-42028:Will Fuller V,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-25813:Phillip Dorsett II,41085-25837:Duke Johnson,58000,5062,15.0,20,20,10,8,70.5,30,25,15,10,1.5,10,10,3,2,73.0,150.5,26.5,1321,manfppg,0.006559766763848398,66,mvp_prob
67,41085-28930:James White,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-25813:Phillip Dorsett II,41085-25837:Duke Johnson,56000,6582,15.0,20,20,10,8,22.5,30,25,15,10,1.5,10,10,3,2,73.0,102.5,26.5,1317,manfppg,0.0011031439602868175,67,mvp_prob
68,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-69168:N'Keal Harry,41085-64242:Keke Coutee,57500,4611,30.0,20,15,7,1,45.0,25,24,8,7,15.0,10,12,1,1,73.0,109.0,39.0,1264,manfppg,0.00017669405424507469,68,mvp_prob
69,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-28930:James White,41085-25837:Duke Johnson,41085-38301:Darren Fells,54000,6731,30.0,20,10,8,5,45.0,25,15,10,4,15.0,10,1,2,2,73.0,99.0,30.0,1307,manfppg,0.00017669405424507469,69,mvp_prob
70,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-25813:Phillip Dorsett II,41085-63634:Jakobi Meyers,41085-27338:Rex Burkhead,52500,7890,30.0,20,10,7,6,37.5,30,15,10,6,15.0,10,3,1,2,73.0,98.5,31.0,1278,manfppg,0.00016034985422740526,70,mvp_prob
71,41085-22018:Mohamed Sanu,41085-6498:Tom Brady,41085-53640:Sony Michel,41085-54879:Deshaun Watson,41085-25837:Duke Johnson,58500,5458,15.0,20,10,20,8,22.5,30,10,25,10,7.5,10,3,10,2,73.0,97.5,32.5,1315,manfppg,0.001457725947521866,71,mvp_prob
72,41085-28473:Carlos Hyde,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-28930:James White,41085-38301:Darren Fells,57500,5932,18.0,20,20,10,5,22.5,30,25,15,4,10.5,10,10,1,2,73.0,96.5,33.5,1239,manfppg,0.0004342162396873644,72,mvp_prob
73,41085-22018:Mohamed Sanu,41085-6498:Tom Brady,41085-28473:Carlos Hyde,41085-54879:Deshaun Watson,41085-27457:Kenny Stills,57500,5978,15.0,20,12,20,6,22.5,30,15,25,7,7.5,10,7,10,1,73.0,99.5,35.5,1213,manfppg,0.001457725947521866,73,mvp_prob
74,41085-42028:Will Fuller V,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-28473:Carlos Hyde,41085-27457:Kenny Stills,60000,4837,15.0,20,20,12,6,70.5,30,25,15,7,1.5,10,10,7,1,73.0,147.5,29.5,1200,manfppg,0.006559766763848398,74,mvp_prob
75,41085-25837:Duke Johnson,41085-6498:Tom Brady,41085-28473:Carlos Hyde,41085-6642:Nick Folk,41085-54879:Deshaun Watson,57500,6079,12.0,20,12,9,20,15.0,30,15,11,25,3.0,10,7,1,10,73.0,96.0,31.0,1190,manfppg,0.0007849293563579279,75,mvp_prob
76,41085-25813:Phillip Dorsett II,41085-6498:Tom Brady,41085-28473:Carlos Hyde,41085-54879:Deshaun Watson,41085-27338:Rex Burkhead,56000,6133,15.0,20,12,20,6,22.5,30,15,25,6,4.5,10,7,10,2,73.0,98.5,33.5,1183,manfppg,0.0009874917709019092,76,mvp_prob
77,41085-42028:Will Fuller V,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-22018:Mohamed Sanu,41085-25837:Duke Johnson,60000,4902,15.0,20,20,10,8,70.5,30,25,15,10,1.5,10,10,5,2,73.0,150.5,28.5,1181,manfppg,0.006559766763848398,77,mvp_prob
78,41085-25837:Duke Johnson,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-54879:Deshaun Watson,41085-27457:Kenny Stills,57000,4683,12.0,20,15,20,6,15.0,30,24,25,7,3.0,10,12,10,1,73.0,101.0,36.0,1163,manfppg,0.0007849293563579279,78,mvp_prob
79,41085-27457:Kenny Stills,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-6642:Nick Folk,41085-54879:Deshaun Watson,58500,4514,9.0,20,15,9,20,10.5,30,24,11,25,1.5,10,12,1,10,73.0,100.5,34.5,1215,manfppg,0.003401360544217688,79,mvp_prob
80,41085-63634:Jakobi Meyers,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-69168:N'Keal Harry,41085-54879:Deshaun Watson,58500,4589,10.5,20,15,7,20,15.0,30,24,8,25,1.5,10,12,1,10,72.5,102.0,34.5,1422,manfppg,0.0015698587127158559,80,mvp_prob
