,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index,MVP_ManFPPG,Flex1_ManFPPG,Flex2_ManFPPG,Flex3_ManFPPG,Flex4_ManFPPG,MVP_ManHi,Flex1_ManHi,Flex2_ManHi,Flex3_ManHi,Flex4_ManHi,MVP_ManLo,Flex1_ManLo,Flex2_ManLo,Flex3_ManLo,Flex4_ManLo,Total_ManFPPG,Total_ManHi,Total_ManLo,scoring_index,scoring_type,selection_index,selection_type
0,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-6642:Nick Folk,41085-25813:Phillip Dorsett II,60000,4480,30.0,20,15,9,10,37.5,30,24,11,15,15.0,10,12,1,3,84.0,117.5,41.0,1,manfppg,0,mvp_top
1,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-6642:Nick Folk,41085-25813:Phillip Dorsett II,60000,4481,30.0,20,15,9,10,45.0,25,24,11,15,15.0,10,12,1,3,84.0,120.0,41.0,0,manfppg,1,mvp_top
2,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-25813:Phillip Dorsett II,41085-25837:Duke Johnson,58500,4545,30.0,20,15,10,8,37.5,30,24,15,10,15.0,10,12,3,2,83.0,116.5,42.0,3,manfppg,2,mvp_top
3,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-25813:Phillip Dorsett II,41085-25837:Duke Johnson,58500,4546,30.0,20,15,10,8,45.0,25,24,15,10,15.0,10,12,3,2,83.0,119.0,42.0,2,manfppg,3,mvp_top
4,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-6642:Nick Folk,41085-25837:Duke Johnson,59500,4496,30.0,20,15,9,8,45.0,25,24,11,10,15.0,10,12,1,2,82.0,115.0,40.0,18,manfppg,4,mvp_top
5,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-29932:Ka'imi Fairbairn,41085-25837:Duke Johnson,60000,4441,30.0,20,15,9,8,45.0,25,24,11,10,15.0,10,12,1,2,82.0,115.0,40.0,15,manfppg,5,mvp_top
6,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-25813:Phillip Dorsett II,41085-69168:N'Keal Harry,59000,4536,30.0,20,15,10,7,45.0,25,24,15,8,15.0,10,12,3,1,82.0,117.0,41.0,12,manfppg,6,mvp_top
7,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-28473:Carlos Hyde,41085-28930:James White,41085-25813:Phillip Dorsett II,59500,5886,30.0,20,12,10,10,45.0,25,15,15,15,15.0,10,7,1,3,82.0,115.0,36.0,11,manfppg,7,mvp_top
8,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-25813:Phillip Dorsett II,41085-63634:Jakobi Meyers,58500,4541,30.0,20,15,10,7,45.0,25,24,15,10,15.0,10,12,3,1,82.0,119.0,41.0,9,manfppg,8,mvp_top
9,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-28473:Carlos Hyde,41085-38301:Darren Fells,60000,4366,30.0,20,15,12,5,45.0,25,24,15,4,15.0,10,12,7,2,82.0,113.0,46.0,8,manfppg,9,mvp_top
10,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-28473:Carlos Hyde,41085-22018:Mohamed Sanu,41085-25813:Phillip Dorsett II,59000,5946,30.0,20,12,10,10,45.0,25,15,15,15,15.0,10,7,5,3,82.0,115.0,40.0,5,manfppg,10,mvp_top
11,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-53640:Sony Michel,41085-28473:Carlos Hyde,41085-25813:Phillip Dorsett II,60000,5326,30.0,20,10,12,10,45.0,25,10,15,15,15.0,10,3,7,3,82.0,110.0,38.0,6,manfppg,11,mvp_top
12,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-6642:Nick Folk,41085-25837:Duke Johnson,59500,4495,30.0,20,15,9,8,37.5,30,24,11,10,15.0,10,12,1,2,82.0,112.5,40.0,4,manfppg,12,mvp_top
13,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-28473:Carlos Hyde,41085-22018:Mohamed Sanu,41085-25813:Phillip Dorsett II,59000,5945,30.0,20,12,10,10,37.5,30,15,15,15,15.0,10,7,5,3,82.0,112.5,40.0,19,manfppg,13,mvp_top
14,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-25813:Phillip Dorsett II,41085-63634:Jakobi Meyers,58500,4540,30.0,20,15,10,7,37.5,30,24,15,10,15.0,10,12,3,1,82.0,116.5,41.0,16,manfppg,14,mvp_top
15,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-29932:Ka'imi Fairbairn,41085-25837:Duke Johnson,60000,4440,30.0,20,15,9,8,37.5,30,24,11,10,15.0,10,12,1,2,82.0,112.5,40.0,14,manfppg,15,mvp_top
16,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-25813:Phillip Dorsett II,41085-69168:N'Keal Harry,59000,4535,30.0,20,15,10,7,37.5,30,24,15,8,15.0,10,12,3,1,82.0,114.5,41.0,13,manfppg,16,mvp_top
17,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-28473:Carlos Hyde,41085-28930:James White,41085-25813:Phillip Dorsett II,59500,5885,30.0,20,12,10,10,37.5,30,15,15,15,15.0,10,7,1,3,82.0,112.5,36.0,10,manfppg,17,mvp_top
18,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-53640:Sony Michel,41085-28473:Carlos Hyde,41085-25813:Phillip Dorsett II,60000,5325,30.0,20,10,12,10,37.5,30,10,15,15,15.0,10,3,7,3,82.0,107.5,38.0,7,manfppg,18,mvp_top
