,Unnamed: 0_selection,MVP - 1.5X Points_selection,Flex_1_selection,Flex_2_selection,Flex_3_selection,Flex_4_selection,Salary_selection,original index,MVP_ManFPPG_selection,Flex1_ManFPPG_selection,Flex2_ManFPPG_selection,Flex3_ManFPPG_selection,Flex4_ManFPPG_selection,MVP_ManHi,Flex1_ManHi,Flex2_ManHi,Flex3_ManHi,Flex4_ManHi,MVP_ManLo,Flex1_ManLo,Flex2_ManLo,Flex3_ManLo,Flex4_ManLo,Total_ManFPPG_selection,Total_ManHi,Total_ManLo,scoring_index,scoring_type,selection_index,selection_type,Unnamed: 0_actuals,MVP - 1.5X Points_actuals,Flex_1_actuals,Flex_2_actuals,Flex_3_actuals,Flex_4_actuals,Salary_actuals,MVP_ManFPPG_actuals,Flex1_ManFPPG_actuals,Flex2_ManFPPG_actuals,Flex3_ManFPPG_actuals,Flex4_ManFPPG_actuals,MVP_Actual,Flex1_Actual,Flex2_Actual,Flex3_Actual,Flex4_Actual,Total_ManFPPG_actuals,predicted_index,Total_Actual,actual_index,Winnings
0,0,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-6642:Nick Folk,41085-25813:Phillip Dorsett II,60000,4480,30.0,20,15,9,10,37.5,30,24,11,15,15.0,10,12,1,3,84.0,117.5,41.0,1,manfppg,0,mvp_top,4818,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-6642:Nick Folk,41085-25813:Phillip Dorsett II,60000,30.0,20,15,9,10,42.54,25.34,18.9,0.0,2.5,84.0,0,89.28,4818,0.15
1,1,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-6642:Nick Folk,41085-25813:Phillip Dorsett II,60000,4481,30.0,20,15,9,10,45.0,25,24,11,15,15.0,10,12,1,3,84.0,120.0,41.0,0,manfppg,1,mvp_top,5472,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-6642:Nick Folk,41085-25813:Phillip Dorsett II,60000,30.0,20,15,9,10,38.01,28.36,18.9,0.0,2.5,84.0,1,87.77000000000002,5472,0.15
2,2,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-25813:Phillip Dorsett II,41085-25837:Duke Johnson,58500,4545,30.0,20,15,10,8,37.5,30,24,15,10,15.0,10,12,3,2,83.0,116.5,42.0,3,manfppg,2,mvp_top,722,41085-54879:Deshaun Watson,41085-6498:Tom Brady,41085-7859:Julian Edelman,41085-25813:Phillip Dorsett II,41085-25837:Duke Johnson,58500,30.0,20,15,10,8,42.54,25.34,18.9,2.5,17.5,83.0,3,106.78,722,0.25
3,3,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-25813:Phillip Dorsett II,41085-25837:Duke Johnson,58500,4546,30.0,20,15,10,8,45.0,25,24,15,10,15.0,10,12,3,2,83.0,119.0,42.0,2,manfppg,3,mvp_top,878,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-25813:Phillip Dorsett II,41085-25837:Duke Johnson,58500,30.0,20,15,10,8,38.01,28.36,18.9,2.5,17.5,83.0,2,105.27,878,0.25
4,4,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-6642:Nick Folk,41085-25837:Duke Johnson,59500,4496,30.0,20,15,9,8,45.0,25,24,11,10,15.0,10,12,1,2,82.0,115.0,40.0,18,manfppg,4,mvp_top,1204,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-6642:Nick Folk,41085-25837:Duke Johnson,59500,30.0,20,15,9,8,38.01,28.36,18.9,0.0,17.5,82.0,6,102.77,1204,0.2
5,5,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-29932:Ka'imi Fairbairn,41085-25837:Duke Johnson,60000,4441,30.0,20,15,9,8,45.0,25,24,11,10,15.0,10,12,1,2,82.0,115.0,40.0,15,manfppg,5,mvp_top,723,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-29932:Ka'imi Fairbairn,41085-25837:Duke Johnson,60000,30.0,20,15,9,8,38.01,28.36,18.9,4.0,17.5,82.0,5,106.77,723,0.25
6,6,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-25813:Phillip Dorsett II,41085-69168:N'Keal Harry,59000,4536,30.0,20,15,10,7,45.0,25,24,15,8,15.0,10,12,3,1,82.0,117.0,41.0,12,manfppg,6,mvp_top,5468,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-25813:Phillip Dorsett II,41085-69168:N'Keal Harry,59000,30.0,20,15,10,7,38.01,28.36,18.9,2.5,0.0,82.0,11,87.77000000000002,5468,0.15
7,7,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-28473:Carlos Hyde,41085-28930:James White,41085-25813:Phillip Dorsett II,59500,5886,30.0,20,12,10,10,45.0,25,15,15,15,15.0,10,7,1,3,82.0,115.0,36.0,11,manfppg,7,mvp_top,876,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-28473:Carlos Hyde,41085-28930:James White,41085-25813:Phillip Dorsett II,59500,30.0,20,12,10,10,38.01,28.36,2.7,33.7,2.5,82.0,8,105.27,876,0.25
8,8,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-25813:Phillip Dorsett II,41085-63634:Jakobi Meyers,58500,4541,30.0,20,15,10,7,45.0,25,24,15,10,15.0,10,12,3,1,82.0,119.0,41.0,9,manfppg,8,mvp_top,3139,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-25813:Phillip Dorsett II,41085-63634:Jakobi Meyers,58500,30.0,20,15,10,7,38.01,28.36,18.9,2.5,6.1,82.0,4,93.87,3139,0.15
9,9,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-28473:Carlos Hyde,41085-38301:Darren Fells,60000,4366,30.0,20,15,12,5,45.0,25,24,15,4,15.0,10,12,7,2,82.0,113.0,46.0,8,manfppg,9,mvp_top,2234,41085-6498:Tom Brady,41085-54879:Deshaun Watson,41085-7859:Julian Edelman,41085-28473:Carlos Hyde,41085-38301:Darren Fells,60000,30.0,20,15,12,5,38.01,28.36,18.9,2.7,9.3,82.0,10,97.27,2234,0.15
