Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,mvp_prob,FPPG,ManFPPG,ManLo,ManHi,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
41200-31716:Dak Prescott,41200-31716,QB,Dak,Dak Prescott,Prescott,0.16,22.72666677,22.72666677,22.72666677,22.72666677,12,15500,DAL@CHI,DAL,CHI,,,
41200-38628:Mitchell Trubisky,41200-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,0.1,13.34909058,13.34909058,13.34909058,13.34909058,11,15000,DAL@CHI,CHI,DAL,,,
41200-38791:Ezekiel Elliott,41200-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,0.18,16.25833384,16.25833384,16.25833384,16.25833384,12,14500,DAL@CHI,DAL,CHI,,,
41200-28643:Allen Robinson II,41200-28643,WR,Allen,Allen Robinson II,Robinson II,0.06,12.54166667,12.54166667,12.54166667,12.54166667,12,14000,DAL@CHI,CHI,DAL,,,
41200-31001:Amari Cooper,41200-31001,WR,Amari,Amari Cooper,Cooper,0.06,14.25833384,14.25833384,14.25833384,14.25833384,12,13000,DAL@CHI,DAL,CHI,,,
41200-73273:David Montgomery,41200-73273,RB,David,David Montgomery,Montgomery,0.06,10.18333308,10.18333308,10.18333308,10.18333308,12,11500,DAL@CHI,CHI,DAL,,,
41200-69956:Michael Gallup,41200-69956,WR,Michael,Michael Gallup,Gallup,0.06,12.20999985,12.20999985,12.20999985,12.20999985,10,11000,DAL@CHI,DAL,CHI,,,
41200-41936:Anthony Miller,41200-41936,WR,Anthony,Anthony Miller,Miller,0.02,5.483333588,5.483333588,5.483333588,5.483333588,12,10500,DAL@CHI,CHI,DAL,,,
41200-27292:Brett Maher,41200-27292,K,Brett,Brett Maher,Maher,0.02,8.25,8.25,8.25,8.25,12,9500,DAL@CHI,DAL,CHI,,,
41200-14257:Randall Cobb,41200-14257,WR,Randall,Randall Cobb,Cobb,0.06,9.227272727,9.227272727,9.227272727,9.227272727,11,9500,DAL@CHI,DAL,CHI,,,
41200-79974:Tarik Cohen,41200-79974,RB,Tarik,Tarik Cohen,Cohen,0.04,7.549999873,7.549999873,7.549999873,7.549999873,12,9000,DAL@CHI,CHI,DAL,,,
41200-69307:Eddy Pineiro,41200-69307,K,Eddy,Eddy Pineiro,Pineiro,0.02,6,6,6,6,12,8500,DAL@CHI,CHI,DAL,,,
41200-54753:Taylor Gabriel,41200-54753,WR,Taylor,Taylor Gabriel,Gabriel,0,8.422222561,8.422222561,8.422222561,8.422222561,9,8000,DAL@CHI,CHI,DAL,DROP,Concussion,
41200-6641:Jason Witten,41200-6641,TE,Jason,Jason Witten,Witten,0.04,6.983333588,6.983333588,6.983333588,6.983333588,12,8000,DAL@CHI,DAL,CHI,,,
41200-63759:Tony Pollard,41200-63759,RB,Tony,Tony Pollard,Pollard,0.02,5.036363775,5.036363775,5.036363775,5.036363775,11,7000,DAL@CHI,DAL,CHI,Q,Ankle,
41200-27527:Blake Jarwin,41200-27527,TE,Blake,Blake Jarwin,Jarwin,0.02,5.00909077,5.00909077,5.00909077,5.00909077,11,6500,DAL@CHI,DAL,CHI,,,
41200-70489:Ben Braunecker,41200-70489,TE,Ben,Ben Braunecker,Braunecker,0,3.724999905,3.724999905,3.724999905,3.724999905,4,6000,DAL@CHI,CHI,DAL,DROP,Concussion,
41200-104421:Jesper Horsted,41200-104421,TE,Jesper,Jesper Horsted,Horsted,0.02,4.599999905,4.599999905,4.599999905,4.599999905,2,6000,DAL@CHI,CHI,DAL,,,
41200-30733:Cordarrelle Patterson,41200-30733,WR,Cordarrelle,Cordarrelle Patterson,Patterson,0.02,1.972727342,1.972727342,1.972727342,1.972727342,11,5500,DAL@CHI,CHI,DAL,,,
41200-26458:Tavon Austin,41200-26458,WR,Tavon,Tavon Austin,Austin,0.02,2.660000038,2.660000038,2.660000038,2.660000038,10,5500,DAL@CHI,DAL,CHI,,,
41200-55042:Dalton Schultz,41200-55042,TE,Dalton,Dalton Schultz,Schultz,0.02,0.550000012,0.550000012,0.550000012,0.550000012,2,5000,DAL@CHI,DAL,CHI,,,
41200-30788:Tyler Bray,41200-30788,QB,Tyler,Tyler Bray,Bray,0,0,0,0,0,0,5000,DAL@CHI,CHI,DAL,DROP,,
41200-23046:Jamize Olawale,41200-23046,RB,Jamize,Jamize Olawale,Olawale,0,0,0,0,0,1,5000,DAL@CHI,DAL,CHI,DROP,,
41200-69325:Riley Ridley,41200-69325,WR,Riley,Riley Ridley,Ridley,0,0,0,0,0,0,5000,DAL@CHI,CHI,DAL,DROP,,
41200-69581:Cedrick Wilson,41200-69581,WR,Cedrick,Cedrick Wilson,Wilson,0,2.366666635,2.366666635,2.366666635,2.366666635,3,5000,DAL@CHI,DAL,CHI,DROP,,
41200-28502:Devin Smith,41200-28502,WR,Devin,Devin Smith,Smith,0,6.599999746,6.599999746,6.599999746,6.599999746,3,5000,DAL@CHI,DAL,CHI,DROP,,
41200-30297:Trey Burton,41200-30297,TE,Trey,Trey Burton,Burton,0,1.924999952,1.924999952,1.924999952,1.924999952,8,5000,DAL@CHI,CHI,DAL,DROP,Calf,
41200-79967:Adam Shaheen,41200-79967,TE,Adam,Adam Shaheen,Shaheen,0,1.699999946,1.699999946,1.699999946,1.699999946,7,5000,DAL@CHI,CHI,DAL,DROP,Foot,
41200-63330:Mike Weber,41200-63330,RB,Mike,Mike Weber,Weber,0,0,0,0,0,0,5000,DAL@CHI,DAL,CHI,DROP,,
41200-8803:Chase Daniel,41200-8803,QB,Chase,Chase Daniel,Daniel,0,9.333333333,9.333333333,9.333333333,9.333333333,3,5000,DAL@CHI,CHI,DAL,DROP,,
41200-25957:J.P. Holtz,41200-25957,TE,J.P.,J.P. Holtz,Holtz,0,1.099999984,1.099999984,1.099999984,1.099999984,3,5000,DAL@CHI,CHI,DAL,DROP,,
41200-57064:Ryan Nall,41200-57064,RB,Ryan,Ryan Nall,Nall,0,0,0,0,0,0,5000,DAL@CHI,CHI,DAL,DROP,,
41200-44715:Cooper Rush,41200-44715,QB,Cooper,Cooper Rush,Rush,0,0,0,0,0,0,5000,DAL@CHI,DAL,CHI,DROP,,
41200-55148:Clayton Thorson,41200-55148,QB,Clayton,Clayton Thorson,Thorson,0,0,0,0,0,0,5000,DAL@CHI,DAL,CHI,DROP,,
41200-79980:Eric Saubert,41200-79980,TE,Eric,Eric Saubert,Saubert,0,1.460000038,1.460000038,1.460000038,1.460000038,5,5000,DAL@CHI,CHI,DAL,DROP,,
41200-62127:Cole Hikutini,41200-62127,TE,Cole,Cole Hikutini,Hikutini,0,0,0,0,0,0,5000,DAL@CHI,DAL,CHI,DROP,,
