Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,mvp_prob,FPPG,ManFPPG,Actual,ManLo,ManHi,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
41357-22015:Russell Wilson,41357-22015,QB,Russell,Russell Wilson,Wilson,0.12,22.62333425,20,11.6,10,40,12,15500,SEA@LAR,SEA,LAR,,,
41357-38435:Jared Goff,41357-38435,QB,Jared,Jared Goff,Goff,0.12,15.04666646,20,18.12,9,25,12,14500,SEA@LAR,LAR,SEA,,,
41357-30447:Todd Gurley II,41357-30447,RB,Todd,Todd Gurley II,Gurley II,0.1,12.60000055,14,19.3,4,18,11,13500,SEA@LAR,LAR,SEA,,,
41357-29685:Robert Woods,41357-29685,WR,Robert,Robert Woods,Woods,0.1,11.69090965,18,22.2,5,24,11,13500,SEA@LAR,LAR,SEA,,,
41357-64119:Chris Carson,41357-64119,RB,Chris,Chris Carson,Carson,0.06,14.23333359,15,10.6,8,18,12,13000,SEA@LAR,SEA,LAR,,,
41357-57840:Rashaad Penny,41357-57840,RB,Rashaad,Rashaad Penny,Penny,0.06,8.649999619,15,2.1,19,25,8,12500,SEA@LAR,SEA,LAR,,,
41357-79970:Cooper Kupp,41357-79970,WR,Cooper,Cooper Kupp,Kupp,0.1,13.94999949,15,12.5,8,18,12,12000,SEA@LAR,LAR,SEA,,,
41357-73048:DK Metcalf,41357-73048,WR,DK,DK Metcalf,Metcalf,0.1,9.96666654,12,10.8,5,25,12,10500,SEA@LAR,SEA,LAR,,,
41357-27050:Tyler Lockett,41357-27050,WR,Tyler,Tyler Lockett,Lockett,0.1,12.50833384,12,6.3,5,35,12,10000,SEA@LAR,SEA,LAR,,,
41357-22109:Greg Zuerlein,41357-22109,K,Greg,Greg Zuerlein,Zuerlein,0,8.916666667,9,4,4,10,12,9500,SEA@LAR,LAR,SEA,,,
41357-60745:Jason Myers,41357-60745,K,Jason,Jason Myers,Myers,0,7.75,9,6,4,10,12,9000,SEA@LAR,SEA,LAR,,,
41357-54007:Jacob Hollister,41357-54007,TE,Jacob,Jacob Hollister,Hollister,0.04,8.46666654,11,5.4,4,18,6,8500,SEA@LAR,SEA,LAR,,,
41357-47870:Tyler Higbee,41357-47870,TE,Tyler,Tyler Higbee,Higbee,0.04,6.040000153,11,15.1,4,20,10,8500,SEA@LAR,LAR,SEA,,,
41357-57299:Gerald Everett,41357-57299,TE,Gerald,Gerald Everett,Everett,0,6.481818459,0,0,0,0,11,8000,SEA@LAR,LAR,SEA,DROP,Knee,
41357-53097:Josh Reynolds,41357-53097,WR,Josh,Josh Reynolds,Reynolds,0.02,3.308333397,5,2.9,0,0,12,7500,SEA@LAR,LAR,SEA,,,
41357-55088:Malik Turner,41357-55088,WR,Malik,Malik Turner,Turner,0.02,4.228571483,4,1.5,0,0,7,7500,SEA@LAR,SEA,LAR,,,
41357-29501:Brandin Cooks,41357-29501,WR,Brandin,Brandin Cooks,Cooks,0.02,7.25,6,0,0,0,10,7500,SEA@LAR,LAR,SEA,,,
41357-79987:David Moore,41357-79987,WR,David,David Moore,Moore,0,4.259999847,3,2,0,0,10,7000,SEA@LAR,SEA,LAR,,,
41357-24589:Jaron Brown,41357-24589,WR,Jaron,Jaron Brown,Brown,0,6.433333079,2,0,0,0,6,6500,SEA@LAR,SEA,LAR,,,
41357-32234:Malcolm Brown,41357-32234,RB,Malcolm,Malcolm Brown,Brown,0,4.040000153,2,8.1,0,0,10,6500,SEA@LAR,LAR,SEA,,,
41357-70157:Darrell Henderson Jr.,41357-70157,RB,Darrell,Darrell Henderson Jr.,Henderson Jr.,0,3.28333346,2,0,0,0,6,6000,SEA@LAR,LAR,SEA,,,
41357-23194:Josh Gordon,41357-23194,WR,Josh,Josh Gordon,Gordon,0,5.722222222,2,4.4,0,0,9,6000,SEA@LAR,SEA,LAR,,,
41357-33472:C.J. Prosise,41357-33472,RB,C.J.,C.J. Prosise,Prosise,0,3.840000153,0,0.2,0,0,5,5500,SEA@LAR,SEA,LAR,DROP,,
41357-32000:Luke Willson,41357-32000,TE,Luke,Luke Willson,Willson,0,1.98333327,1.98333327,0,0,0,6,5000,SEA@LAR,SEA,LAR,DROP,Hamstring,
41357-56192:John Wolford,41357-56192,QB,John,John Wolford,Wolford,0,0,0,0,0,0,0,5000,SEA@LAR,LAR,SEA,DROP,,
41357-34308:Blake Bortles,41357-34308,QB,Blake,Blake Bortles,Bortles,0,-0.389999986,-0.389999986,0,0,0,2,5000,SEA@LAR,LAR,SEA,DROP,,
41357-55694:Mike Thomas,41357-55694,WR,Mike,Mike Thomas,Thomas,0,0.466666659,0.466666659,0,0,0,3,5000,SEA@LAR,LAR,SEA,DROP,,
41357-71444:Travis Homer,41357-71444,RB,Travis,Travis Homer,Homer,0,1.450000048,1.450000048,0,0,0,2,5000,SEA@LAR,SEA,LAR,DROP,,
