,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index,MVP_ManFPPG,Flex1_ManFPPG,Flex2_ManFPPG,Flex3_ManFPPG,Flex4_ManFPPG,MVP_ManHi,Flex1_ManHi,Flex2_ManHi,Flex3_ManHi,Flex4_ManHi,MVP_ManLo,Flex1_ManLo,Flex2_ManLo,Flex3_ManLo,Flex4_ManLo,Total_ManFPPG,Total_ManHi,Total_ManLo,scoring_index,scoring_type,selection_prob,selection_index,selection_type
0,41357-22015:Russell Wilson,41357-38435:Jared Goff,41357-79970:Cooper Kupp,41357-54007:Jacob Hollister,41357-47870:Tyler Higbee,59000,1540,30.0,20.0,15.0,11.0,11.0,60.0,25,18,18,20,15.0,9,8,4,4,87.0,141.0,40.0,2,manfppg,0.0003156565656565656,0,mvp_prob
1,41357-38435:Jared Goff,41357-29685:Robert Woods,41357-64119:Chris Carson,41357-27050:Tyler Lockett,41357-54007:Jacob Hollister,59500,24490,30.0,18.0,15.0,12.0,11.0,37.5,24,18,35,18,13.5,5,8,5,4,86.0,132.5,35.5,17,manfppg,0.00026427061310782237,1,mvp_prob
2,41357-22015:Russell Wilson,41357-38435:Jared Goff,41357-79970:Cooper Kupp,41357-22109:Greg Zuerlein,41357-54007:Jacob Hollister,60000,1440,30.0,20.0,15.0,9.0,11.0,60.0,25,18,10,18,15.0,9,8,4,4,85.0,131.0,40.0,27,manfppg,0.0003156565656565656,2,mvp_prob
3,41357-38435:Jared Goff,41357-22015:Russell Wilson,41357-73048:DK Metcalf,41357-27050:Tyler Lockett,41357-54007:Jacob Hollister,59000,1776,30.0,20.0,12.0,12.0,11.0,37.5,40,25,35,18,13.5,10,5,5,4,85.0,155.5,37.5,32,manfppg,0.00026427061310782237,3,mvp_prob
4,41357-29685:Robert Woods,41357-22015:Russell Wilson,41357-57840:Rashaad Penny,41357-27050:Tyler Lockett,41357-47870:Tyler Higbee,60000,7556,27.0,20.0,15.0,12.0,11.0,36.0,40,25,35,20,7.5,10,19,5,4,85.0,156.0,45.5,39,manfppg,0.00035191441441441434,4,mvp_prob
5,41357-22015:Russell Wilson,41357-38435:Jared Goff,41357-29685:Robert Woods,41357-47870:Tyler Higbee,41357-29501:Brandin Cooks,59500,460,30.0,20.0,18.0,11.0,6.0,60.0,25,24,20,0,15.0,9,5,4,0,85.0,129.0,33.0,45,manfppg,0.0003156565656565656,5,mvp_prob
6,41357-22015:Russell Wilson,41357-29685:Robert Woods,41357-57840:Rashaad Penny,41357-54007:Jacob Hollister,41357-47870:Tyler Higbee,58500,7705,30.0,18.0,15.0,11.0,11.0,60.0,24,25,18,20,15.0,5,19,4,4,85.0,147.0,47.0,62,manfppg,0.0003156565656565656,6,mvp_prob
7,41357-29685:Robert Woods,41357-38435:Jared Goff,41357-79970:Cooper Kupp,41357-73048:DK Metcalf,41357-47870:Tyler Higbee,59000,25371,27.0,20.0,15.0,12.0,11.0,36.0,25,18,25,20,7.5,9,8,5,4,85.0,124.0,33.5,68,manfppg,0.00035191441441441434,7,mvp_prob
8,41357-38435:Jared Goff,41357-29685:Robert Woods,41357-57840:Rashaad Penny,41357-27050:Tyler Lockett,41357-60745:Jason Myers,59500,24970,30.0,18.0,15.0,12.0,9.0,37.5,24,25,35,10,13.5,5,19,5,4,84.0,131.5,46.5,93,manfppg,0.00026427061310782237,8,mvp_prob
9,41357-29685:Robert Woods,41357-22015:Russell Wilson,41357-79970:Cooper Kupp,41357-27050:Tyler Lockett,41357-60745:Jason Myers,60000,7981,27.0,20.0,15.0,12.0,9.0,36.0,40,18,35,10,7.5,10,8,5,4,83.0,139.0,34.5,160,manfppg,0.00035191441441441434,9,mvp_prob
10,41357-22015:Russell Wilson,41357-57840:Rashaad Penny,41357-79970:Cooper Kupp,41357-27050:Tyler Lockett,41357-47870:Tyler Higbee,58500,12575,30.0,15.0,15.0,12.0,11.0,60.0,25,18,35,20,15.0,19,8,5,4,83.0,158.0,51.0,202,manfppg,0.0003156565656565656,10,mvp_prob
