,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index,MVP_ManFPPG,Flex1_ManFPPG,Flex2_ManFPPG,Flex3_ManFPPG,Flex4_ManFPPG,MVP_ManHi,Flex1_ManHi,Flex2_ManHi,Flex3_ManHi,Flex4_ManHi,MVP_ManLo,Flex1_ManLo,Flex2_ManLo,Flex3_ManLo,Flex4_ManLo,Total_ManFPPG,Total_ManHi,Total_ManLo,scoring_index,scoring_type,selection_prob,selection_index,selection_type
0,41357-38435:Jared Goff,41357-29685:Robert Woods,41357-57840:Rashaad Penny,41357-73048:DK Metcalf,41357-54007:Jacob Hollister,59500,24915,30.0,18.0,15.0,12.0,11.0,37.5,24,25,25,18,13.5,5,19,5,4,86.0,129.5,46.5,8,manfppg,0.00026427061310782237,0,mvp_prob
1,41357-38435:Jared Goff,41357-29685:Robert Woods,41357-64119:Chris Carson,41357-27050:Tyler Lockett,41357-47870:Tyler Higbee,59500,24495,30.0,18.0,15.0,12.0,11.0,37.5,24,18,35,20,13.5,5,8,5,4,86.0,134.5,35.5,11,manfppg,0.00026427061310782237,1,mvp_prob
2,41357-29685:Robert Woods,41357-22015:Russell Wilson,41357-79970:Cooper Kupp,41357-73048:DK Metcalf,41357-54007:Jacob Hollister,60000,7931,27.0,20.0,15.0,12.0,11.0,36.0,40,18,25,18,7.5,10,8,5,4,85.0,137.0,34.5,28,manfppg,0.00035191441441441434,2,mvp_prob
3,41357-29685:Robert Woods,41357-38435:Jared Goff,41357-79970:Cooper Kupp,41357-27050:Tyler Lockett,41357-47870:Tyler Higbee,58500,25431,27.0,20.0,15.0,12.0,11.0,36.0,25,18,35,20,7.5,9,8,5,4,85.0,134.0,33.5,49,manfppg,0.00035191441441441434,3,mvp_prob
4,41357-38435:Jared Goff,41357-22015:Russell Wilson,41357-57840:Rashaad Penny,41357-60745:Jason Myers,41357-54007:Jacob Hollister,60000,1086,30.0,20.0,15.0,9.0,11.0,37.5,40,25,10,18,13.5,10,19,4,4,85.0,130.5,50.5,57,manfppg,0.00026427061310782237,4,mvp_prob
5,41357-64119:Chris Carson,41357-29685:Robert Woods,41357-38435:Jared Goff,41357-27050:Tyler Lockett,41357-54007:Jacob Hollister,59500,24492,22.5,18.0,20.0,12.0,11.0,27.0,24,25,35,18,12.0,5,9,5,4,83.5,129.0,35.0,111,manfppg,0.0004921259842519684,5,mvp_prob
6,41357-79970:Cooper Kupp,41357-29685:Robert Woods,41357-22015:Russell Wilson,41357-27050:Tyler Lockett,41357-47870:Tyler Higbee,59500,7992,22.5,18.0,20.0,12.0,11.0,27.0,24,40,35,20,12.0,5,10,5,4,83.5,146.0,36.0,121,manfppg,0.0005986590038314175,6,mvp_prob
7,41357-38435:Jared Goff,41357-29685:Robert Woods,41357-57840:Rashaad Penny,41357-22109:Greg Zuerlein,41357-54007:Jacob Hollister,58500,25030,30.0,18.0,15.0,9.0,11.0,37.5,24,25,10,18,13.5,5,19,4,4,83.0,114.5,45.5,188,manfppg,0.00026427061310782237,7,mvp_prob
8,41357-22015:Russell Wilson,41357-29685:Robert Woods,41357-57840:Rashaad Penny,41357-60745:Jason Myers,41357-54007:Jacob Hollister,59000,7655,30.0,18.0,15.0,9.0,11.0,60.0,24,25,10,18,15.0,5,19,4,4,83.0,137.0,47.0,201,manfppg,0.0003156565656565656,8,mvp_prob
9,41357-22015:Russell Wilson,41357-64119:Chris Carson,41357-79970:Cooper Kupp,41357-27050:Tyler Lockett,41357-54007:Jacob Hollister,59000,10580,30.0,15.0,15.0,12.0,11.0,60.0,18,18,35,18,15.0,8,8,5,4,83.0,149.0,40.0,172,manfppg,0.0003156565656565656,9,mvp_prob
