,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index,MVP_ManFPPG,Flex1_ManFPPG,Flex2_ManFPPG,Flex3_ManFPPG,Flex4_ManFPPG,MVP_ManHi,Flex1_ManHi,Flex2_ManHi,Flex3_ManHi,Flex4_ManHi,MVP_ManLo,Flex1_ManLo,Flex2_ManLo,Flex3_ManLo,Flex4_ManLo,Total_ManFPPG,Total_ManHi,Total_ManLo,scoring_index,scoring_type,selection_index,selection_type
0,41357-22015:Russell Wilson,41357-38435:Jared Goff,41357-57840:Rashaad Penny,41357-54007:Jacob Hollister,41357-47870:Tyler Higbee,59500,1135,30.0,20.0,15.0,11.0,11.0,60.0,25,25,18,20,15.0,9,19,4,4,87.0,148.0,51.0,1,manfppg,0,mvp_top
1,41357-38435:Jared Goff,41357-22015:Russell Wilson,41357-57840:Rashaad Penny,41357-54007:Jacob Hollister,41357-47870:Tyler Higbee,59500,1136,30.0,20.0,15.0,11.0,11.0,37.5,40,25,18,20,13.5,10,19,4,4,87.0,140.5,50.5,0,manfppg,1,mvp_top
2,41357-38435:Jared Goff,41357-22015:Russell Wilson,41357-79970:Cooper Kupp,41357-54007:Jacob Hollister,41357-47870:Tyler Higbee,59000,1541,30.0,20.0,15.0,11.0,11.0,37.5,40,18,18,20,13.5,10,8,4,4,87.0,133.5,39.5,3,manfppg,2,mvp_top
3,41357-38435:Jared Goff,41357-22015:Russell Wilson,41357-64119:Chris Carson,41357-54007:Jacob Hollister,41357-47870:Tyler Higbee,60000,756,30.0,20.0,15.0,11.0,11.0,37.5,40,18,18,20,13.5,10,8,4,4,87.0,133.5,39.5,4,manfppg,3,mvp_top
4,41357-22015:Russell Wilson,41357-38435:Jared Goff,41357-64119:Chris Carson,41357-54007:Jacob Hollister,41357-47870:Tyler Higbee,60000,755,30.0,20.0,15.0,11.0,11.0,60.0,25,18,18,20,15.0,9,8,4,4,87.0,141.0,40.0,5,manfppg,4,mvp_top
5,41357-22015:Russell Wilson,41357-38435:Jared Goff,41357-79970:Cooper Kupp,41357-54007:Jacob Hollister,41357-47870:Tyler Higbee,59000,1540,30.0,20.0,15.0,11.0,11.0,60.0,25,18,18,20,15.0,9,8,4,4,87.0,141.0,40.0,2,manfppg,5,mvp_top
6,41357-38435:Jared Goff,41357-29685:Robert Woods,41357-57840:Rashaad Penny,41357-73048:DK Metcalf,41357-47870:Tyler Higbee,59500,24920,30.0,18.0,15.0,12.0,11.0,37.5,24,25,25,20,13.5,5,19,5,4,86.0,131.5,46.5,7,manfppg,6,mvp_top
7,41357-38435:Jared Goff,41357-29685:Robert Woods,41357-57840:Rashaad Penny,41357-73048:DK Metcalf,41357-54007:Jacob Hollister,59500,24915,30.0,18.0,15.0,12.0,11.0,37.5,24,25,25,18,13.5,5,19,5,4,86.0,129.5,46.5,8,manfppg,7,mvp_top
8,41357-38435:Jared Goff,41357-29685:Robert Woods,41357-64119:Chris Carson,41357-27050:Tyler Lockett,41357-47870:Tyler Higbee,59500,24495,30.0,18.0,15.0,12.0,11.0,37.5,24,18,35,20,13.5,5,8,5,4,86.0,134.5,35.5,11,manfppg,8,mvp_top
9,41357-38435:Jared Goff,41357-29685:Robert Woods,41357-57840:Rashaad Penny,41357-27050:Tyler Lockett,41357-47870:Tyler Higbee,59000,24980,30.0,18.0,15.0,12.0,11.0,37.5,24,25,35,20,13.5,5,19,5,4,86.0,141.5,46.5,12,manfppg,9,mvp_top
10,41357-38435:Jared Goff,41357-29685:Robert Woods,41357-57840:Rashaad Penny,41357-27050:Tyler Lockett,41357-54007:Jacob Hollister,59000,24975,30.0,18.0,15.0,12.0,11.0,37.5,24,25,35,18,13.5,5,19,5,4,86.0,139.5,46.5,15,manfppg,10,mvp_top
11,41357-38435:Jared Goff,41357-29685:Robert Woods,41357-64119:Chris Carson,41357-27050:Tyler Lockett,41357-54007:Jacob Hollister,59500,24490,30.0,18.0,15.0,12.0,11.0,37.5,24,18,35,18,13.5,5,8,5,4,86.0,132.5,35.5,17,manfppg,11,mvp_top
12,41357-38435:Jared Goff,41357-29685:Robert Woods,41357-79970:Cooper Kupp,41357-73048:DK Metcalf,41357-54007:Jacob Hollister,59000,25365,30.0,18.0,15.0,12.0,11.0,37.5,24,18,25,18,13.5,5,8,5,4,86.0,122.5,35.5,20,manfppg,12,mvp_top
13,41357-38435:Jared Goff,41357-29685:Robert Woods,41357-64119:Chris Carson,41357-73048:DK Metcalf,41357-54007:Jacob Hollister,60000,24435,30.0,18.0,15.0,12.0,11.0,37.5,24,18,25,18,13.5,5,8,5,4,86.0,122.5,35.5,21,manfppg,13,mvp_top
14,41357-38435:Jared Goff,41357-29685:Robert Woods,41357-64119:Chris Carson,41357-73048:DK Metcalf,41357-47870:Tyler Higbee,60000,24440,30.0,18.0,15.0,12.0,11.0,37.5,24,18,25,20,13.5,5,8,5,4,86.0,124.5,35.5,23,manfppg,14,mvp_top
15,41357-38435:Jared Goff,41357-29685:Robert Woods,41357-79970:Cooper Kupp,41357-27050:Tyler Lockett,41357-54007:Jacob Hollister,58500,25425,30.0,18.0,15.0,12.0,11.0,37.5,24,18,35,18,13.5,5,8,5,4,86.0,132.5,35.5,16,manfppg,15,mvp_top
