Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,mvp_prob,FPPG,ManFPPG,ManLo,ManHi,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
41364-70324:Carson Wentz,41364-70324,QB,Carson,Carson Wentz,Wentz,0.12,17.11666616,18,10,25,12,15500,NYG@PHI,PHI,NYG,,,
41364-21980:Alshon Jeffery,41364-21980,WR,Alshon,Alshon Jeffery,Jeffery,0.1,12.58749962,15,5,25,8,14000,NYG@PHI,PHI,NYG,,,
41364-64401:Saquon Barkley,41364-64401,RB,Saquon,Saquon Barkley,Barkley,0.1,13.38888889,15,0,0,9,13500,NYG@PHI,NYG,PHI,,,
41364-29780:Zach Ertz,41364-29780,TE,Zach,Zach Ertz,Ertz,0.1,10.54999987,15,0,0,12,13500,NYG@PHI,PHI,NYG,,,
41364-71845:Miles Sanders,41364-71845,RB,Miles,Miles Sanders,Sanders,0.1,10.15833346,15,0,0,12,13000,NYG@PHI,PHI,NYG,,,
41364-6826:Eli Manning,41364-6826,QB,Eli,Eli Manning,Manning,0.1,13.52000046,15,0,0,2,13000,NYG@PHI,NYG,PHI,,,
41364-42142:Jordan Howard,41364-42142,RB,Jordan,Jordan Howard,Howard,0,11.82222239,0,0,0,9,12000,NYG@PHI,PHI,NYG,DROP,Shoulder,
41364-11485:Golden Tate,41364-11485,WR,Golden,Golden Tate,Tate,0.1,12.37142835,15,0,0,7,11500,NYG@PHI,NYG,PHI,,,
41364-41872:Evan Engram,41364-41872,TE,Evan,Evan Engram,Engram,0,10.92500019,0,0,0,8,10500,NYG@PHI,NYG,PHI,DROP,Foot,
41364-27477:Sterling Shepard,41364-27477,WR,Sterling,Sterling Shepard,Shepard,0.05,11.51666641,10,0,0,6,10500,NYG@PHI,NYG,PHI,,,
41364-63819:Darius Slayton,41364-63819,WR,Darius,Darius Slayton,Slayton,0.05,9.9,10,0,0,10,10000,NYG@PHI,NYG,PHI,,,
41364-41235:Jake Elliott,41364-41235,K,Jake,Jake Elliott,Elliott,0,6.666666667,9,0,0,12,9500,NYG@PHI,PHI,NYG,,,
41364-83074:Dallas Goedert,41364-83074,TE,Dallas,Dallas Goedert,Goedert,0.05,6.727272727,9,0,0,11,9000,NYG@PHI,PHI,NYG,,,
41364-70496:Aldrick Rosas,41364-70496,K,Aldrick,Aldrick Rosas,Rosas,0,4.416666667,9,0,0,12,9000,NYG@PHI,NYG,PHI,,,
41364-71806:Kaden Smith,41364-71806,TE,Kaden,Kaden Smith,Smith,0.05,6.933333079,9,0,0,3,8500,NYG@PHI,NYG,PHI,,,
41364-64907:JJ Arcega-Whiteside,41364-64907,WR,JJ,JJ Arcega-Whiteside,Arcega-Whiteside,0.02,3.820000076,5,0,0,5,8000,NYG@PHI,PHI,NYG,,,
41364-29683:Nelson Agholor,41364-29683,WR,Nelson,Nelson Agholor,Agholor,0,6.772727273,0,0,0,11,8000,NYG@PHI,PHI,NYG,DROP,Knee,
41364-22065:Rhett Ellison,41364-22065,TE,Rhett,Rhett Ellison,Ellison,0,3.170000076,0,0,0,10,7000,NYG@PHI,NYG,PHI,DROP,Concussion,
41364-40434:Greg Ward,41364-40434,WR,Greg,Greg Ward,Ward,0.02,4,3,0,0,2,6500,NYG@PHI,PHI,NYG,,,
41364-28157:Bennie Fowler III,41364-28157,WR,Bennie,Bennie Fowler III,Fowler III,0.02,4.349999905,3,0,0,8,6500,NYG@PHI,NYG,PHI,,,
41364-27771:Cody Latimer,41364-27771,WR,Cody,Cody Latimer,Latimer,0.02,3.629999924,3,0,0,10,6000,NYG@PHI,NYG,PHI,,,
41364-46882:Jay Ajayi,41364-46882,RB,Jay,Jay Ajayi,Ajayi,0,1.25,0,0,0,2,5500,NYG@PHI,PHI,NYG,DROP,,
41364-52931:Elijhaa Penny,41364-52931,RB,Elijhaa,Elijhaa Penny,Penny,0,1,0,0,0,6,5000,NYG@PHI,NYG,PHI,DROP,,
41364-29956:Joshua Perkins,41364-29956,TE,Joshua,Joshua Perkins,Perkins,0,3.066666603,0,0,0,3,5000,NYG@PHI,PHI,NYG,DROP,,
41364-83079:Kyle Lauletta,41364-83079,QB,Kyle,Kyle Lauletta,Lauletta,0,-1.200000048,0,0,0,1,5000,NYG@PHI,PHI,NYG,DROP,,
41364-39818:Wayne Gallman Jr.,41364-39818,RB,Wayne,Wayne Gallman Jr.,Gallman Jr.,0,4.744444529,0,0,0,9,5000,NYG@PHI,NYG,PHI,DROP,Coach's decision,
41364-29645:Javorius Allen,41364-29645,RB,Javorius,Javorius Allen,Allen,0,0.400000006,0,0,0,1,5000,NYG@PHI,NYG,PHI,DROP,,
41364-6739:DeSean Jackson,41364-6739,WR,DeSean,DeSean Jackson,Jackson,0,16.20000076,0,0,0,2,5000,NYG@PHI,PHI,NYG,DROP,Abdomen,
41364-6803:Josh McCown,41364-6803,QB,Josh,Josh McCown,McCown,0,0.379999995,0,0,0,2,5000,NYG@PHI,PHI,NYG,DROP,,
41364-27801:Nate Sudfeld,41364-27801,QB,Nate,Nate Sudfeld,Sudfeld,0,2.339999914,0,0,0,2,5000,NYG@PHI,PHI,NYG,DROP,,
41364-63519:Daniel Jones,41364-63519,QB,Daniel,Daniel Jones,Jones,0,16.00545432,0,0,0,11,5000,NYG@PHI,NYG,PHI,DROP,Ankle,
41364-31329:Russell Shepard,41364-31329,WR,Russell,Russell Shepard,Shepard,0,2,0,0,0,2,5000,NYG@PHI,NYG,PHI,DROP,Foot,
