,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index
0,41364-70324:Carson Wentz,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-27477:Sterling Shepard,41364-40434:Greg Ward,60000,0
1,41364-21980:Alshon Jeffery,41364-70324:Carson Wentz,41364-64401:Saquon Barkley,41364-27477:Sterling Shepard,41364-40434:Greg Ward,60000,1
2,41364-64401:Saquon Barkley,41364-21980:Alshon Jeffery,41364-70324:Carson Wentz,41364-27477:Sterling Shepard,41364-40434:Greg Ward,60000,2
3,41364-27477:Sterling Shepard,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-70324:Carson Wentz,41364-40434:Greg Ward,60000,3
4,41364-40434:Greg Ward,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-27477:Sterling Shepard,41364-70324:Carson Wentz,60000,4
5,41364-70324:Carson Wentz,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-27477:Sterling Shepard,41364-28157:Bennie Fowler III,60000,5
6,41364-21980:Alshon Jeffery,41364-70324:Carson Wentz,41364-64401:Saquon Barkley,41364-27477:Sterling Shepard,41364-28157:Bennie Fowler III,60000,6
7,41364-64401:Saquon Barkley,41364-21980:Alshon Jeffery,41364-70324:Carson Wentz,41364-27477:Sterling Shepard,41364-28157:Bennie Fowler III,60000,7
8,41364-27477:Sterling Shepard,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-70324:Carson Wentz,41364-28157:Bennie Fowler III,60000,8
9,41364-28157:Bennie Fowler III,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-27477:Sterling Shepard,41364-70324:Carson Wentz,60000,9
10,41364-70324:Carson Wentz,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-27477:Sterling Shepard,41364-27771:Cody Latimer,59500,10
11,41364-21980:Alshon Jeffery,41364-70324:Carson Wentz,41364-64401:Saquon Barkley,41364-27477:Sterling Shepard,41364-27771:Cody Latimer,59500,11
12,41364-64401:Saquon Barkley,41364-21980:Alshon Jeffery,41364-70324:Carson Wentz,41364-27477:Sterling Shepard,41364-27771:Cody Latimer,59500,12
13,41364-27477:Sterling Shepard,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-70324:Carson Wentz,41364-27771:Cody Latimer,59500,13
14,41364-27771:Cody Latimer,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-27477:Sterling Shepard,41364-70324:Carson Wentz,59500,14
15,41364-70324:Carson Wentz,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-63819:Darius Slayton,41364-40434:Greg Ward,59500,15
16,41364-21980:Alshon Jeffery,41364-70324:Carson Wentz,41364-64401:Saquon Barkley,41364-63819:Darius Slayton,41364-40434:Greg Ward,59500,16
17,41364-64401:Saquon Barkley,41364-21980:Alshon Jeffery,41364-70324:Carson Wentz,41364-63819:Darius Slayton,41364-40434:Greg Ward,59500,17
18,41364-63819:Darius Slayton,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-70324:Carson Wentz,41364-40434:Greg Ward,59500,18
19,41364-40434:Greg Ward,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-63819:Darius Slayton,41364-70324:Carson Wentz,59500,19
20,41364-70324:Carson Wentz,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-63819:Darius Slayton,41364-28157:Bennie Fowler III,59500,20
21,41364-21980:Alshon Jeffery,41364-70324:Carson Wentz,41364-64401:Saquon Barkley,41364-63819:Darius Slayton,41364-28157:Bennie Fowler III,59500,21
22,41364-64401:Saquon Barkley,41364-21980:Alshon Jeffery,41364-70324:Carson Wentz,41364-63819:Darius Slayton,41364-28157:Bennie Fowler III,59500,22
23,41364-63819:Darius Slayton,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-70324:Carson Wentz,41364-28157:Bennie Fowler III,59500,23
24,41364-28157:Bennie Fowler III,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-63819:Darius Slayton,41364-70324:Carson Wentz,59500,24
25,41364-70324:Carson Wentz,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-63819:Darius Slayton,41364-27771:Cody Latimer,59000,25
26,41364-21980:Alshon Jeffery,41364-70324:Carson Wentz,41364-64401:Saquon Barkley,41364-63819:Darius Slayton,41364-27771:Cody Latimer,59000,26
27,41364-64401:Saquon Barkley,41364-21980:Alshon Jeffery,41364-70324:Carson Wentz,41364-63819:Darius Slayton,41364-27771:Cody Latimer,59000,27
28,41364-63819:Darius Slayton,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-70324:Carson Wentz,41364-27771:Cody Latimer,59000,28
29,41364-27771:Cody Latimer,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-63819:Darius Slayton,41364-70324:Carson Wentz,59000,29
30,41364-70324:Carson Wentz,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-41235:Jake Elliott,41364-40434:Greg Ward,59000,30
31,41364-21980:Alshon Jeffery,41364-70324:Carson Wentz,41364-64401:Saquon Barkley,41364-41235:Jake Elliott,41364-40434:Greg Ward,59000,31
32,41364-64401:Saquon Barkley,41364-21980:Alshon Jeffery,41364-70324:Carson Wentz,41364-41235:Jake Elliott,41364-40434:Greg Ward,59000,32
33,41364-41235:Jake Elliott,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-70324:Carson Wentz,41364-40434:Greg Ward,59000,33
34,41364-40434:Greg Ward,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-41235:Jake Elliott,41364-70324:Carson Wentz,59000,34
35,41364-70324:Carson Wentz,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-41235:Jake Elliott,41364-28157:Bennie Fowler III,59000,35
36,41364-21980:Alshon Jeffery,41364-70324:Carson Wentz,41364-64401:Saquon Barkley,41364-41235:Jake Elliott,41364-28157:Bennie Fowler III,59000,36
37,41364-64401:Saquon Barkley,41364-21980:Alshon Jeffery,41364-70324:Carson Wentz,41364-41235:Jake Elliott,41364-28157:Bennie Fowler III,59000,37
38,41364-41235:Jake Elliott,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-70324:Carson Wentz,41364-28157:Bennie Fowler III,59000,38
39,41364-28157:Bennie Fowler III,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-41235:Jake Elliott,41364-70324:Carson Wentz,59000,39
40,41364-70324:Carson Wentz,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-41235:Jake Elliott,41364-27771:Cody Latimer,58500,40
41,41364-21980:Alshon Jeffery,41364-70324:Carson Wentz,41364-64401:Saquon Barkley,41364-41235:Jake Elliott,41364-27771:Cody Latimer,58500,41
42,41364-64401:Saquon Barkley,41364-21980:Alshon Jeffery,41364-70324:Carson Wentz,41364-41235:Jake Elliott,41364-27771:Cody Latimer,58500,42
