,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index,MVP_ManFPPG,Flex1_ManFPPG,Flex2_ManFPPG,Flex3_ManFPPG,Flex4_ManFPPG,MVP_ManHi,Flex1_ManHi,Flex2_ManHi,Flex3_ManHi,Flex4_ManHi,MVP_ManLo,Flex1_ManLo,Flex2_ManLo,Flex3_ManLo,Flex4_ManLo,Total_ManFPPG,Total_ManHi,Total_ManLo,scoring_index,scoring_type,selection_prob,selection_index,selection_type
0,41364-29780:Zach Ertz,41364-71845:Miles Sanders,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-71806:Kaden Smith,59500,18105,22.5,15,15,15,9,0.0,0,0,0,0,0.0,0,0,0,0,76.5,0.0,0.0,26,manfppg,0.0004963271788763153,0,mvp_prob
1,41364-6826:Eli Manning,41364-71845:Miles Sanders,41364-29780:Zach Ertz,41364-11485:Golden Tate,41364-70496:Aldrick Rosas,60000,18102,22.5,15,15,15,9,0.0,0,0,0,0,0.0,0,0,0,0,76.5,0.0,0.0,30,manfppg,0.000454793523740222,1,mvp_prob
2,41364-70324:Carson Wentz,41364-29780:Zach Ertz,41364-11485:Golden Tate,41364-27477:Sterling Shepard,41364-83074:Dallas Goedert,60000,2980,27.0,15,15,10,9,37.5,0,0,0,0,15.0,0,0,0,0,76.0,37.5,15.0,49,manfppg,0.00035637918745545257,2,mvp_prob
3,41364-70324:Carson Wentz,41364-29780:Zach Ertz,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-27771:Cody Latimer,59500,2810,27.0,15,15,15,3,37.5,0,0,0,0,15.0,0,0,0,0,75.0,37.5,15.0,87,manfppg,0.00035637918745545257,3,mvp_prob
4,41364-70324:Carson Wentz,41364-29780:Zach Ertz,41364-71845:Miles Sanders,41364-41235:Jake Elliott,41364-71806:Kaden Smith,60000,2695,27.0,15,15,9,9,37.5,0,0,0,0,15.0,0,0,0,0,75.0,37.5,15.0,89,manfppg,0.00035637918745545257,4,mvp_prob
5,41364-70324:Carson Wentz,41364-29780:Zach Ertz,41364-6826:Eli Manning,41364-83074:Dallas Goedert,41364-70496:Aldrick Rosas,60000,2875,27.0,15,15,9,9,37.5,0,0,0,0,15.0,0,0,0,0,75.0,37.5,15.0,90,manfppg,0.00035637918745545257,5,mvp_prob
6,41364-70324:Carson Wentz,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-71806:Kaden Smith,58000,4865,27.0,15,15,9,9,37.5,0,0,0,0,15.0,0,0,0,0,75.0,37.5,15.0,127,manfppg,0.00035637918745545257,6,mvp_prob
7,41364-11485:Golden Tate,41364-29780:Zach Ertz,41364-6826:Eli Manning,41364-70324:Carson Wentz,41364-27771:Cody Latimer,59500,2813,22.5,15,15,18,3,0.0,0,0,25,0,0.0,0,0,10,0,73.5,25.0,10.0,325,manfppg,0.0003697131026323573,7,mvp_prob
8,41364-6826:Eli Manning,41364-29780:Zach Ertz,41364-70324:Carson Wentz,41364-11485:Golden Tate,41364-40434:Greg Ward,60000,2802,22.5,15,18,15,3,0.0,0,25,0,0,0.0,0,10,0,0,73.5,25.0,10.0,376,manfppg,0.000454793523740222,8,mvp_prob
9,41364-29780:Zach Ertz,41364-70324:Carson Wentz,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-40434:Greg Ward,60000,2801,22.5,18,15,15,3,0.0,25,0,0,0,0.0,10,0,0,0,73.5,25.0,10.0,374,manfppg,0.0004963271788763153,9,mvp_prob
10,41364-29780:Zach Ertz,41364-70324:Carson Wentz,41364-71845:Miles Sanders,41364-83074:Dallas Goedert,41364-70496:Aldrick Rosas,60000,2711,22.5,18,15,9,9,0.0,25,0,0,0,0.0,10,0,0,0,73.5,25.0,10.0,364,manfppg,0.0004963271788763153,10,mvp_prob
