,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index,MVP_ManFPPG,Flex1_ManFPPG,Flex2_ManFPPG,Flex3_ManFPPG,Flex4_ManFPPG,MVP_ManHi,Flex1_ManHi,Flex2_ManHi,Flex3_ManHi,Flex4_ManHi,MVP_ManLo,Flex1_ManLo,Flex2_ManLo,Flex3_ManLo,Flex4_ManLo,Total_ManFPPG,Total_ManHi,Total_ManLo,scoring_index,scoring_type,selection_index,selection_type
0,41364-64401:Saquon Barkley,41364-29780:Zach Ertz,41364-71845:Miles Sanders,41364-11485:Golden Tate,41364-71806:Kaden Smith,60000,13570,22.5,15,15,15,9,0.0,0,0,0,0,0.0,0,0,0,0,76.5,0.0,0.0,24,manfppg,0,mvp_top
1,41364-29780:Zach Ertz,41364-64401:Saquon Barkley,41364-71845:Miles Sanders,41364-11485:Golden Tate,41364-71806:Kaden Smith,60000,13571,22.5,15,15,15,9,0.0,0,0,0,0,0.0,0,0,0,0,76.5,0.0,0.0,35,manfppg,1,mvp_top
2,41364-29780:Zach Ertz,41364-71845:Miles Sanders,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-71806:Kaden Smith,59500,18105,22.5,15,15,15,9,0.0,0,0,0,0,0.0,0,0,0,0,76.5,0.0,0.0,26,manfppg,2,mvp_top
3,41364-29780:Zach Ertz,41364-71845:Miles Sanders,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-83074:Dallas Goedert,60000,18095,22.5,15,15,15,9,0.0,0,0,0,0,0.0,0,0,0,0,76.5,0.0,0.0,7,manfppg,3,mvp_top
4,41364-6826:Eli Manning,41364-71845:Miles Sanders,41364-29780:Zach Ertz,41364-11485:Golden Tate,41364-71806:Kaden Smith,59500,18107,22.5,15,15,15,9,0.0,0,0,0,0,0.0,0,0,0,0,76.5,0.0,0.0,31,manfppg,4,mvp_top
5,41364-6826:Eli Manning,41364-71845:Miles Sanders,41364-29780:Zach Ertz,41364-11485:Golden Tate,41364-83074:Dallas Goedert,60000,18097,22.5,15,15,15,9,0.0,0,0,0,0,0.0,0,0,0,0,76.5,0.0,0.0,4,manfppg,5,mvp_top
6,41364-11485:Golden Tate,41364-71845:Miles Sanders,41364-6826:Eli Manning,41364-64401:Saquon Barkley,41364-83074:Dallas Goedert,60000,14888,22.5,15,15,15,9,0.0,0,0,0,0,0.0,0,0,0,0,76.5,0.0,0.0,9,manfppg,6,mvp_top
7,41364-11485:Golden Tate,41364-29780:Zach Ertz,41364-71845:Miles Sanders,41364-64401:Saquon Barkley,41364-71806:Kaden Smith,60000,13573,22.5,15,15,15,9,0.0,0,0,0,0,0.0,0,0,0,0,76.5,0.0,0.0,33,manfppg,7,mvp_top
8,41364-11485:Golden Tate,41364-71845:Miles Sanders,41364-6826:Eli Manning,41364-29780:Zach Ertz,41364-70496:Aldrick Rosas,60000,18103,22.5,15,15,15,9,0.0,0,0,0,0,0.0,0,0,0,0,76.5,0.0,0.0,32,manfppg,8,mvp_top
9,41364-11485:Golden Tate,41364-71845:Miles Sanders,41364-6826:Eli Manning,41364-29780:Zach Ertz,41364-83074:Dallas Goedert,60000,18098,22.5,15,15,15,9,0.0,0,0,0,0,0.0,0,0,0,0,76.5,0.0,0.0,29,manfppg,9,mvp_top
10,41364-11485:Golden Tate,41364-29780:Zach Ertz,41364-6826:Eli Manning,41364-64401:Saquon Barkley,41364-71806:Kaden Smith,60000,13818,22.5,15,15,15,9,0.0,0,0,0,0,0.0,0,0,0,0,76.5,0.0,0.0,20,manfppg,10,mvp_top
11,41364-11485:Golden Tate,41364-71845:Miles Sanders,41364-6826:Eli Manning,41364-64401:Saquon Barkley,41364-70496:Aldrick Rosas,60000,14893,22.5,15,15,15,9,0.0,0,0,0,0,0.0,0,0,0,0,76.5,0.0,0.0,14,manfppg,11,mvp_top
12,41364-11485:Golden Tate,41364-71845:Miles Sanders,41364-6826:Eli Manning,41364-21980:Alshon Jeffery,41364-71806:Kaden Smith,60000,10038,22.5,15,15,15,9,0.0,0,0,25,0,0.0,0,0,5,0,76.5,25.0,5.0,13,manfppg,12,mvp_top
13,41364-11485:Golden Tate,41364-71845:Miles Sanders,41364-6826:Eli Manning,41364-64401:Saquon Barkley,41364-71806:Kaden Smith,59500,14898,22.5,15,15,15,9,0.0,0,0,0,0,0.0,0,0,0,0,76.5,0.0,0.0,10,manfppg,13,mvp_top
14,41364-64401:Saquon Barkley,41364-71845:Miles Sanders,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-83074:Dallas Goedert,60000,14885,22.5,15,15,15,9,0.0,0,0,0,0,0.0,0,0,0,0,76.5,0.0,0.0,15,manfppg,14,mvp_top
15,41364-64401:Saquon Barkley,41364-71845:Miles Sanders,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-71806:Kaden Smith,59500,14895,22.5,15,15,15,9,0.0,0,0,0,0,0.0,0,0,0,0,76.5,0.0,0.0,17,manfppg,15,mvp_top
