,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index,MVP_ManFPPG,Flex1_ManFPPG,Flex2_ManFPPG,Flex3_ManFPPG,Flex4_ManFPPG,MVP_ManHi,Flex1_ManHi,Flex2_ManHi,Flex3_ManHi,Flex4_ManHi,MVP_ManLo,Flex1_ManLo,Flex2_ManLo,Flex3_ManLo,Flex4_ManLo,Total_ManFPPG,Total_ManHi,Total_ManLo,scoring_index,scoring_type,selection_prob,selection_index,selection_type
0,41552-66008:Diontae Johnson,41552-22288:Cole Beasley,41552-55748:James Washington,41552-54606:John Brown,41552-62239:Josh Allen,58500,13519,22.5,15,15,15,20,30.0,20,20,20,34,9.0,6,6,6,11,87.5,124.0,38.0,13,manfppg,0.0003188775510204081,0,mvp_prob
1,41552-62239:Josh Allen,41552-70603:Devin Singletary,41552-54606:John Brown,41552-66008:Diontae Johnson,41552-55323:Jaylen Samuels,55000,11045,30.0,15,15,15,8,51.0,18,20,20,14,16.5,10,6,6,2,83.0,123.0,40.5,48,manfppg,0.0002311604253351826,1,mvp_prob
2,41552-62239:Josh Allen,41552-70603:Devin Singletary,41552-54606:John Brown,41552-6724:Stephen Hauschka,41552-66008:Diontae Johnson,56500,11010,30.0,15,15,8,15,51.0,18,20,8,20,16.5,10,6,8,6,83.0,117.0,46.5,53,manfppg,0.0002311604253351826,2,mvp_prob
3,41552-95893:Devlin Hodges,41552-62239:Josh Allen,41552-55748:James Washington,41552-54606:John Brown,41552-66008:Diontae Johnson,60000,1751,18.0,20,15,15,15,18.0,34,20,20,20,12.0,11,6,6,6,83.0,112.0,41.0,29,manfppg,0.0014577259475218656,3,mvp_prob
4,41552-54606:John Brown,41552-55748:James Washington,41552-62239:Josh Allen,41552-70889:Benny Snell Jr.,41552-66008:Diontae Johnson,55500,16737,22.5,15,20,10,15,30.0,20,34,14,20,9.0,6,11,2,6,82.5,118.0,34.0,73,manfppg,0.00044173513561268657,4,mvp_prob
5,41552-22288:Cole Beasley,41552-70603:Devin Singletary,41552-55748:James Washington,41552-54606:John Brown,41552-66008:Diontae Johnson,56000,69231,22.5,15,15,15,15,30.0,18,20,20,20,9.0,10,6,6,6,82.5,108.0,37.0,74,manfppg,0.0003779289493575207,5,mvp_prob
6,41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-55748:James Washington,41552-54606:John Brown,41552-66008:Diontae Johnson,56000,69230,22.5,15,15,15,15,27.0,20,20,20,20,15.0,6,6,6,6,82.5,107.0,39.0,88,manfppg,0.0003943606428078477,6,mvp_prob
7,41552-62239:Josh Allen,41552-55748:James Washington,41552-54606:John Brown,41552-66008:Diontae Johnson,41552-64585:Dawson Knox,52500,16935,30.0,15,15,15,6,51.0,20,20,20,5,16.5,6,6,6,5,81.0,116.0,39.5,102,manfppg,0.0002311604253351826,7,mvp_prob
8,41552-54606:John Brown,41552-22288:Cole Beasley,41552-62239:Josh Allen,41552-6724:Stephen Hauschka,41552-66008:Diontae Johnson,56000,14237,22.5,15,20,8,15,30.0,20,34,8,20,9.0,6,11,8,6,80.5,112.0,40.0,203,manfppg,0.00044173513561268657,8,mvp_prob
9,41552-66008:Diontae Johnson,41552-70603:Devin Singletary,41552-55748:James Washington,41552-62239:Josh Allen,41552-61379:Kerrith Whyte Jr.,55000,10553,22.5,15,15,20,8,30.0,18,20,34,14,9.0,10,6,11,2,80.5,116.0,38.0,242,manfppg,0.0003188775510204081,9,mvp_prob
