MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX
41552-66008:Diontae Johnson,41552-22288:Cole Beasley,41552-55748:James Washington,41552-54606:John Brown,41552-62239:Josh Allen
41552-62239:Josh Allen,41552-70603:Devin Singletary,41552-54606:John Brown,41552-66008:Diontae Johnson,41552-55323:Jaylen Samuels
41552-62239:Josh Allen,41552-70603:Devin Singletary,41552-54606:John Brown,41552-6724:Stephen Hauschka,41552-66008:Diontae Johnson
41552-95893:Devlin Hodges,41552-62239:Josh Allen,41552-55748:James Washington,41552-54606:John Brown,41552-66008:Diontae Johnson
41552-54606:John Brown,41552-55748:James Washington,41552-62239:Josh Allen,41552-70889:Benny Snell Jr.,41552-66008:Diontae Johnson
41552-22288:Cole Beasley,41552-70603:Devin Singletary,41552-55748:James Washington,41552-54606:John Brown,41552-66008:Diontae Johnson
41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-55748:James Washington,41552-54606:John Brown,41552-66008:Diontae Johnson
41552-62239:Josh Allen,41552-55748:James Washington,41552-54606:John Brown,41552-66008:Diontae Johnson,41552-64585:Dawson Knox
41552-54606:John Brown,41552-22288:Cole Beasley,41552-62239:Josh Allen,41552-6724:Stephen Hauschka,41552-66008:Diontae Johnson
41552-66008:Diontae Johnson,41552-70603:Devin Singletary,41552-55748:James Washington,41552-62239:Josh Allen,41552-61379:Kerrith Whyte Jr.
41552-55748:James Washington,41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-54606:John Brown,41552-61379:Kerrith Whyte Jr.
41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-54606:John Brown,41552-55323:Jaylen Samuels
41552-22288:Cole Beasley,41552-62239:Josh Allen,41552-54606:John Brown,41552-6724:Stephen Hauschka,41552-66008:Diontae Johnson
41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-55748:James Washington,41552-54606:John Brown,41552-6724:Stephen Hauschka
41552-54606:John Brown,41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-62239:Josh Allen,41552-61379:Kerrith Whyte Jr.
41552-40687:James Conner,41552-62239:Josh Allen,41552-55748:James Washington,41552-54606:John Brown,41552-66008:Diontae Johnson
41552-55748:James Washington,41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-62239:Josh Allen,41552-64585:Dawson Knox
41552-66008:Diontae Johnson,41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-62239:Josh Allen,41552-28570:Nick Vannett
41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-66008:Diontae Johnson,41552-53639:Isaiah McKenzie
41552-66008:Diontae Johnson,41552-22288:Cole Beasley,41552-54606:John Brown,41552-62239:Josh Allen,41552-64585:Dawson Knox
41552-22288:Cole Beasley,41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-55748:James Washington,41552-28570:Nick Vannett
41552-55748:James Washington,41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-62239:Josh Allen,41552-6840:Frank Gore
41552-54606:John Brown,41552-22288:Cole Beasley,41552-55748:James Washington,41552-62239:Josh Allen,41552-28570:Nick Vannett
41552-54606:John Brown,41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-62239:Josh Allen,41552-28570:Nick Vannett
41552-55748:James Washington,41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-66008:Diontae Johnson,41552-28570:Nick Vannett
41552-95893:Devlin Hodges,41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-70889:Benny Snell Jr.,41552-66008:Diontae Johnson
41552-95893:Devlin Hodges,41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-55748:James Washington,41552-66008:Diontae Johnson
41552-62239:Josh Allen,41552-40687:James Conner,41552-22288:Cole Beasley,41552-66008:Diontae Johnson,41552-55323:Jaylen Samuels
41552-62239:Josh Allen,41552-95893:Devlin Hodges,41552-54606:John Brown,41552-66008:Diontae Johnson,41552-64585:Dawson Knox
41552-62239:Josh Allen,41552-55748:James Washington,41552-70889:Benny Snell Jr.,41552-66008:Diontae Johnson,41552-61379:Kerrith Whyte Jr.
41552-70603:Devin Singletary,41552-40687:James Conner,41552-55748:James Washington,41552-54606:John Brown,41552-66008:Diontae Johnson
41552-54606:John Brown,41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-40687:James Conner,41552-66008:Diontae Johnson
41552-54606:John Brown,41552-22288:Cole Beasley,41552-55748:James Washington,41552-70603:Devin Singletary,41552-70889:Benny Snell Jr.
41552-66008:Diontae Johnson,41552-95893:Devlin Hodges,41552-22288:Cole Beasley,41552-6724:Stephen Hauschka,41552-62239:Josh Allen
41552-61379:Kerrith Whyte Jr.,41552-55748:James Washington,41552-54606:John Brown,41552-66008:Diontae Johnson,41552-62239:Josh Allen
41552-61379:Kerrith Whyte Jr.,41552-22288:Cole Beasley,41552-54606:John Brown,41552-66008:Diontae Johnson,41552-62239:Josh Allen
41552-55323:Jaylen Samuels,41552-22288:Cole Beasley,41552-55748:James Washington,41552-54606:John Brown,41552-62239:Josh Allen
41552-55323:Jaylen Samuels,41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-55748:James Washington,41552-62239:Josh Allen
41552-6724:Stephen Hauschka,41552-22288:Cole Beasley,41552-55748:James Washington,41552-62239:Josh Allen,41552-66008:Diontae Johnson
41552-32058:Chris Boswell,41552-70603:Devin Singletary,41552-55748:James Washington,41552-62239:Josh Allen,41552-66008:Diontae Johnson
41552-6724:Stephen Hauschka,41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-62239:Josh Allen,41552-66008:Diontae Johnson
41552-32058:Chris Boswell,41552-22288:Cole Beasley,41552-55748:James Washington,41552-54606:John Brown,41552-62239:Josh Allen
41552-32058:Chris Boswell,41552-70603:Devin Singletary,41552-54606:John Brown,41552-62239:Josh Allen,41552-66008:Diontae Johnson
41552-55323:Jaylen Samuels,41552-70603:Devin Singletary,41552-55748:James Washington,41552-66008:Diontae Johnson,41552-62239:Josh Allen
41552-55323:Jaylen Samuels,41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-54606:John Brown,41552-62239:Josh Allen
41552-6724:Stephen Hauschka,41552-70603:Devin Singletary,41552-55748:James Washington,41552-54606:John Brown,41552-62239:Josh Allen
41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-55748:James Washington,41552-70889:Benny Snell Jr.,41552-6840:Frank Gore
41552-62239:Josh Allen,41552-70603:Devin Singletary,41552-54606:John Brown,41552-32058:Chris Boswell,41552-55323:Jaylen Samuels
41552-95893:Devlin Hodges,41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-66008:Diontae Johnson,41552-61379:Kerrith Whyte Jr.
41552-62239:Josh Allen,41552-55748:James Washington,41552-54606:John Brown,41552-70889:Benny Snell Jr.,41552-53639:Isaiah McKenzie
41552-95893:Devlin Hodges,41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-66008:Diontae Johnson,41552-55323:Jaylen Samuels
41552-95893:Devlin Hodges,41552-62239:Josh Allen,41552-55748:James Washington,41552-66008:Diontae Johnson,41552-55323:Jaylen Samuels
41552-62239:Josh Allen,41552-55748:James Washington,41552-70889:Benny Snell Jr.,41552-66008:Diontae Johnson,41552-53639:Isaiah McKenzie
41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-6724:Stephen Hauschka,41552-66008:Diontae Johnson,41552-61379:Kerrith Whyte Jr.
41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-70889:Benny Snell Jr.,41552-66008:Diontae Johnson,41552-28570:Nick Vannett
41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-54606:John Brown,41552-70889:Benny Snell Jr.,41552-64585:Dawson Knox
41552-95893:Devlin Hodges,41552-62239:Josh Allen,41552-70603:Devin Singletary,41552-66008:Diontae Johnson,41552-55323:Jaylen Samuels
41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-55748:James Washington,41552-54606:John Brown,41552-55323:Jaylen Samuels
41552-66008:Diontae Johnson,41552-40687:James Conner,41552-55748:James Washington,41552-6724:Stephen Hauschka,41552-62239:Josh Allen
41552-22288:Cole Beasley,41552-70603:Devin Singletary,41552-55748:James Washington,41552-54606:John Brown,41552-6724:Stephen Hauschka
41552-66008:Diontae Johnson,41552-55748:James Washington,41552-54606:John Brown,41552-22288:Cole Beasley,41552-55323:Jaylen Samuels
41552-22288:Cole Beasley,41552-70603:Devin Singletary,41552-55748:James Washington,41552-54606:John Brown,41552-55323:Jaylen Samuels
41552-54606:John Brown,41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-70889:Benny Snell Jr.,41552-61379:Kerrith Whyte Jr.
41552-22288:Cole Beasley,41552-70603:Devin Singletary,41552-54606:John Brown,41552-66008:Diontae Johnson,41552-55323:Jaylen Samuels
41552-54606:John Brown,41552-22288:Cole Beasley,41552-70603:Devin Singletary,41552-66008:Diontae Johnson,41552-55323:Jaylen Samuels
41552-70603:Devin Singletary,41552-95893:Devlin Hodges,41552-62239:Josh Allen,41552-66008:Diontae Johnson,41552-28570:Nick Vannett
41552-66008:Diontae Johnson,41552-55748:James Washington,41552-54606:John Brown,41552-32058:Chris Boswell,41552-70603:Devin Singletary
41552-70889:Benny Snell Jr.,41552-40687:James Conner,41552-54606:John Brown,41552-62239:Josh Allen,41552-66008:Diontae Johnson
41552-54606:John Brown,41552-22288:Cole Beasley,41552-62239:Josh Allen,41552-66008:Diontae Johnson,41552-62042:Deon Cain
41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-54606:John Brown,41552-62042:Deon Cain
41552-66008:Diontae Johnson,41552-70603:Devin Singletary,41552-55748:James Washington,41552-62239:Josh Allen,41552-33403:Tevin Jones
41552-70603:Devin Singletary,41552-40687:James Conner,41552-95893:Devlin Hodges,41552-54606:John Brown,41552-66008:Diontae Johnson
41552-22288:Cole Beasley,41552-62239:Josh Allen,41552-54606:John Brown,41552-66008:Diontae Johnson,41552-42107:Robert Foster
41552-55748:James Washington,41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-66008:Diontae Johnson,41552-41922:Johnny Holton
41552-55748:James Washington,41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-54606:John Brown,41552-33403:Tevin Jones
41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-55748:James Washington,41552-41922:Johnny Holton
41552-54606:John Brown,41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-66008:Diontae Johnson,41552-62042:Deon Cain
41552-22288:Cole Beasley,41552-95893:Devlin Hodges,41552-54606:John Brown,41552-70889:Benny Snell Jr.,41552-66008:Diontae Johnson
41552-54606:John Brown,41552-70603:Devin Singletary,41552-55748:James Washington,41552-62239:Josh Allen,41552-41922:Johnny Holton
41552-55323:Jaylen Samuels,41552-95893:Devlin Hodges,41552-55748:James Washington,41552-66008:Diontae Johnson,41552-62239:Josh Allen
41552-64585:Dawson Knox,41552-70603:Devin Singletary,41552-55748:James Washington,41552-66008:Diontae Johnson,41552-62239:Josh Allen
41552-28570:Nick Vannett,41552-70603:Devin Singletary,41552-55748:James Washington,41552-66008:Diontae Johnson,41552-62239:Josh Allen
41552-28570:Nick Vannett,41552-70603:Devin Singletary,41552-54606:John Brown,41552-66008:Diontae Johnson,41552-62239:Josh Allen
41552-53639:Isaiah McKenzie,41552-55748:James Washington,41552-54606:John Brown,41552-66008:Diontae Johnson,41552-62239:Josh Allen
41552-64585:Dawson Knox,41552-55748:James Washington,41552-54606:John Brown,41552-66008:Diontae Johnson,41552-62239:Josh Allen
41552-6840:Frank Gore,41552-22288:Cole Beasley,41552-54606:John Brown,41552-66008:Diontae Johnson,41552-62239:Josh Allen
41552-61379:Kerrith Whyte Jr.,41552-95893:Devlin Hodges,41552-55748:James Washington,41552-66008:Diontae Johnson,41552-62239:Josh Allen
41552-62239:Josh Allen,41552-70603:Devin Singletary,41552-66008:Diontae Johnson,41552-61379:Kerrith Whyte Jr.,41552-64585:Dawson Knox
41552-28570:Nick Vannett,41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-66008:Diontae Johnson,41552-62239:Josh Allen
41552-32058:Chris Boswell,41552-95893:Devlin Hodges,41552-55748:James Washington,41552-62239:Josh Allen,41552-66008:Diontae Johnson
41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-32058:Chris Boswell,41552-66008:Diontae Johnson,41552-6840:Frank Gore
41552-6840:Frank Gore,41552-22288:Cole Beasley,41552-55748:James Washington,41552-54606:John Brown,41552-62239:Josh Allen
41552-64585:Dawson Knox,41552-22288:Cole Beasley,41552-55748:James Washington,41552-66008:Diontae Johnson,41552-62239:Josh Allen
41552-62239:Josh Allen,41552-95893:Devlin Hodges,41552-54606:John Brown,41552-66008:Diontae Johnson,41552-41922:Johnny Holton
41552-6840:Frank Gore,41552-70603:Devin Singletary,41552-55748:James Washington,41552-66008:Diontae Johnson,41552-62239:Josh Allen
41552-95893:Devlin Hodges,41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-66008:Diontae Johnson,41552-28570:Nick Vannett
41552-62239:Josh Allen,41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-55323:Jaylen Samuels,41552-64585:Dawson Knox
41552-55323:Jaylen Samuels,41552-95893:Devlin Hodges,41552-54606:John Brown,41552-66008:Diontae Johnson,41552-62239:Josh Allen
41552-95893:Devlin Hodges,41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-55748:James Washington,41552-53639:Isaiah McKenzie
41552-95893:Devlin Hodges,41552-62239:Josh Allen,41552-54606:John Brown,41552-66008:Diontae Johnson,41552-53639:Isaiah McKenzie
41552-95893:Devlin Hodges,41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-66008:Diontae Johnson,41552-6840:Frank Gore
41552-64585:Dawson Knox,41552-70603:Devin Singletary,41552-55748:James Washington,41552-54606:John Brown,41552-62239:Josh Allen
41552-64585:Dawson Knox,41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-55748:James Washington,41552-62239:Josh Allen
41552-62239:Josh Allen,41552-95893:Devlin Hodges,41552-55748:James Washington,41552-54606:John Brown,41552-33403:Tevin Jones
41552-64585:Dawson Knox,41552-70603:Devin Singletary,41552-54606:John Brown,41552-66008:Diontae Johnson,41552-62239:Josh Allen
41552-66008:Diontae Johnson,41552-22288:Cole Beasley,41552-54606:John Brown,41552-70603:Devin Singletary,41552-64585:Dawson Knox
41552-22288:Cole Beasley,41552-62239:Josh Allen,41552-55748:James Washington,41552-66008:Diontae Johnson,41552-26038:Tyler Kroft
41552-22288:Cole Beasley,41552-40687:James Conner,41552-62239:Josh Allen,41552-55748:James Washington,41552-53639:Isaiah McKenzie
41552-55748:James Washington,41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-6724:Stephen Hauschka,41552-61379:Kerrith Whyte Jr.
41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-55748:James Washington,41552-6724:Stephen Hauschka,41552-55323:Jaylen Samuels
41552-70603:Devin Singletary,41552-40687:James Conner,41552-62239:Josh Allen,41552-66008:Diontae Johnson,41552-64585:Dawson Knox
41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-32058:Chris Boswell,41552-61379:Kerrith Whyte Jr.
41552-22288:Cole Beasley,41552-70603:Devin Singletary,41552-54606:John Brown,41552-66008:Diontae Johnson,41552-53639:Isaiah McKenzie
41552-66008:Diontae Johnson,41552-22288:Cole Beasley,41552-54606:John Brown,41552-70603:Devin Singletary,41552-53639:Isaiah McKenzie
41552-55748:James Washington,41552-40687:James Conner,41552-62239:Josh Allen,41552-66008:Diontae Johnson,41552-6840:Frank Gore
41552-54606:John Brown,41552-40687:James Conner,41552-22288:Cole Beasley,41552-62239:Josh Allen,41552-6840:Frank Gore
41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-55748:James Washington,41552-66008:Diontae Johnson,41552-6840:Frank Gore
41552-55748:James Washington,41552-22288:Cole Beasley,41552-70603:Devin Singletary,41552-66008:Diontae Johnson,41552-64585:Dawson Knox
41552-70603:Devin Singletary,41552-40687:James Conner,41552-62239:Josh Allen,41552-54606:John Brown,41552-53639:Isaiah McKenzie
41552-55748:James Washington,41552-40687:James Conner,41552-22288:Cole Beasley,41552-62239:Josh Allen,41552-28570:Nick Vannett
41552-54606:John Brown,41552-62239:Josh Allen,41552-32058:Chris Boswell,41552-6724:Stephen Hauschka,41552-66008:Diontae Johnson
41552-54606:John Brown,41552-22288:Cole Beasley,41552-62239:Josh Allen,41552-32058:Chris Boswell,41552-55323:Jaylen Samuels
41552-54606:John Brown,41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-55323:Jaylen Samuels,41552-61379:Kerrith Whyte Jr.
41552-66008:Diontae Johnson,41552-70603:Devin Singletary,41552-32058:Chris Boswell,41552-62239:Josh Allen,41552-55323:Jaylen Samuels
41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-32058:Chris Boswell,41552-6724:Stephen Hauschka,41552-66008:Diontae Johnson
41552-54606:John Brown,41552-62239:Josh Allen,41552-70889:Benny Snell Jr.,41552-66008:Diontae Johnson,41552-53639:Isaiah McKenzie
41552-70603:Devin Singletary,41552-40687:James Conner,41552-62239:Josh Allen,41552-55748:James Washington,41552-28570:Nick Vannett
41552-22288:Cole Beasley,41552-40687:James Conner,41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-28570:Nick Vannett
41552-22288:Cole Beasley,41552-62239:Josh Allen,41552-54606:John Brown,41552-32058:Chris Boswell,41552-6724:Stephen Hauschka
41552-22288:Cole Beasley,41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-70889:Benny Snell Jr.,41552-6840:Frank Gore
41552-22288:Cole Beasley,41552-40687:James Conner,41552-62239:Josh Allen,41552-66008:Diontae Johnson,41552-6840:Frank Gore
41552-62239:Josh Allen,41552-95893:Devlin Hodges,41552-55748:James Washington,41552-55323:Jaylen Samuels,41552-61379:Kerrith Whyte Jr.
41552-40687:James Conner,41552-62239:Josh Allen,41552-55748:James Washington,41552-32058:Chris Boswell,41552-66008:Diontae Johnson
41552-40687:James Conner,41552-62239:Josh Allen,41552-55748:James Washington,41552-54606:John Brown,41552-55323:Jaylen Samuels
41552-62239:Josh Allen,41552-95893:Devlin Hodges,41552-40687:James Conner,41552-66008:Diontae Johnson,41552-6840:Frank Gore
41552-70889:Benny Snell Jr.,41552-22288:Cole Beasley,41552-55748:James Washington,41552-62239:Josh Allen,41552-55323:Jaylen Samuels
41552-70889:Benny Snell Jr.,41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-66008:Diontae Johnson,41552-61379:Kerrith Whyte Jr.
41552-70889:Benny Snell Jr.,41552-22288:Cole Beasley,41552-62239:Josh Allen,41552-6724:Stephen Hauschka,41552-66008:Diontae Johnson
41552-70889:Benny Snell Jr.,41552-70603:Devin Singletary,41552-54606:John Brown,41552-62239:Josh Allen,41552-32058:Chris Boswell
41552-70889:Benny Snell Jr.,41552-70603:Devin Singletary,41552-54606:John Brown,41552-62239:Josh Allen,41552-55323:Jaylen Samuels
41552-62239:Josh Allen,41552-95893:Devlin Hodges,41552-54606:John Brown,41552-70889:Benny Snell Jr.,41552-53639:Isaiah McKenzie
41552-62239:Josh Allen,41552-40687:James Conner,41552-22288:Cole Beasley,41552-70889:Benny Snell Jr.,41552-61379:Kerrith Whyte Jr.
41552-70889:Benny Snell Jr.,41552-55748:James Washington,41552-62239:Josh Allen,41552-66008:Diontae Johnson,41552-55323:Jaylen Samuels
41552-40687:James Conner,41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-54606:John Brown,41552-61379:Kerrith Whyte Jr.
41552-40687:James Conner,41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-54606:John Brown,41552-55323:Jaylen Samuels
41552-70889:Benny Snell Jr.,41552-70603:Devin Singletary,41552-55748:James Washington,41552-62239:Josh Allen,41552-32058:Chris Boswell
41552-95893:Devlin Hodges,41552-40687:James Conner,41552-70603:Devin Singletary,41552-54606:John Brown,41552-66008:Diontae Johnson
41552-70889:Benny Snell Jr.,41552-54606:John Brown,41552-62239:Josh Allen,41552-6724:Stephen Hauschka,41552-66008:Diontae Johnson
41552-70889:Benny Snell Jr.,41552-55748:James Washington,41552-54606:John Brown,41552-62239:Josh Allen,41552-32058:Chris Boswell
41552-62239:Josh Allen,41552-95893:Devlin Hodges,41552-40687:James Conner,41552-66008:Diontae Johnson,41552-64585:Dawson Knox
