,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index,MVP_ManFPPG,Flex1_ManFPPG,Flex2_ManFPPG,Flex3_ManFPPG,Flex4_ManFPPG,MVP_ManHi,Flex1_ManHi,Flex2_ManHi,Flex3_ManHi,Flex4_ManHi,MVP_ManLo,Flex1_ManLo,Flex2_ManLo,Flex3_ManLo,Flex4_ManLo,Total_ManFPPG,Total_ManHi,Total_ManLo,scoring_index,scoring_type,selection_index,selection_type
0,41552-62239:Josh Allen,41552-70603:Devin Singletary,41552-55748:James Washington,41552-54606:John Brown,41552-66008:Diontae Johnson,59000,10290,30.0,15,15,15,15,51.0,18,20,20,20,16.5,10,6,6,6,90.0,129.0,44.5,0,manfppg,0,mvp_top
1,41552-62239:Josh Allen,41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-54606:John Brown,41552-66008:Diontae Johnson,60000,9790,30.0,15,15,15,15,51.0,18,20,20,20,16.5,10,6,6,6,90.0,129.0,44.5,1,manfppg,1,mvp_top
2,41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-55748:James Washington,41552-54606:John Brown,41552-66008:Diontae Johnson,58500,13515,30.0,15,15,15,15,51.0,20,20,20,20,16.5,6,6,6,6,90.0,131.0,40.5,2,manfppg,2,mvp_top
3,41552-66008:Diontae Johnson,41552-22288:Cole Beasley,41552-55748:James Washington,41552-54606:John Brown,41552-62239:Josh Allen,58500,13519,22.5,15,15,15,20,30.0,20,20,20,34,9.0,6,6,6,11,87.5,124.0,38.0,13,manfppg,3,mvp_top
4,41552-66008:Diontae Johnson,41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-54606:John Brown,41552-62239:Josh Allen,60000,9794,22.5,15,15,15,20,30.0,18,20,20,34,9.0,10,6,6,11,87.5,122.0,42.0,8,manfppg,4,mvp_top
5,41552-54606:John Brown,41552-70603:Devin Singletary,41552-55748:James Washington,41552-62239:Josh Allen,41552-66008:Diontae Johnson,59000,10293,22.5,15,15,20,15,30.0,18,20,34,20,9.0,10,6,11,6,87.5,122.0,42.0,9,manfppg,5,mvp_top
6,41552-54606:John Brown,41552-22288:Cole Beasley,41552-55748:James Washington,41552-62239:Josh Allen,41552-66008:Diontae Johnson,58500,13518,22.5,15,15,20,15,30.0,20,20,34,20,9.0,6,6,11,6,87.5,124.0,38.0,12,manfppg,6,mvp_top
7,41552-54606:John Brown,41552-70603:Devin Singletary,41552-22288:Cole Beasley,41552-62239:Josh Allen,41552-66008:Diontae Johnson,60000,9793,22.5,15,15,20,15,30.0,18,20,34,20,9.0,10,6,11,6,87.5,122.0,42.0,3,manfppg,7,mvp_top
8,41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-55748:James Washington,41552-54606:John Brown,41552-66008:Diontae Johnson,59000,10291,22.5,20,15,15,15,27.0,34,20,20,20,15.0,11,6,6,6,87.5,121.0,44.0,4,manfppg,8,mvp_top
9,41552-70603:Devin Singletary,41552-62239:Josh Allen,41552-22288:Cole Beasley,41552-54606:John Brown,41552-66008:Diontae Johnson,60000,9791,22.5,20,15,15,15,27.0,34,20,20,20,15.0,11,6,6,6,87.5,121.0,44.0,6,manfppg,9,mvp_top
