Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1913244980,nfl,2019/12/09,$40K Mon NFL Huddle (No Experienced Players),$60k,59,,5141,14699,Tournament,3,0,https://www.fanduel.com/entry/BOQPKXDRN,
S1911570364,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,57.17,,60803,95808,Tournament,0.05,0,https://www.fanduel.com/entry/BQGHCKICJ,
S1911570362,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,59.57,,51553,95808,Tournament,0.05,0,https://www.fanduel.com/entry/BQUEPBUAF,
S1911570359,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,69.27,,20472,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/BNAWEJOPH,
S1911570355,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,59.27,,52194,95808,Tournament,0.05,0,https://www.fanduel.com/entry/BOCRDSMKZ,
S1911570352,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,71.37,,15281,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/BOQOQJYIV,
S1911570346,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,61.67,,43755,95808,Tournament,0.05,0,https://www.fanduel.com/entry/BTLSALBPL,
S1911570344,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,54.92,,67963,95808,Tournament,0.05,0,https://www.fanduel.com/entry/BTZPNCNNH,
S1911570341,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,67.02,,27283,95808,Tournament,0.05,0,https://www.fanduel.com/entry/BUNMZTZLD,
S1911570339,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,57.32,,60135,95808,Tournament,0.05,0,https://www.fanduel.com/entry/BVBKMLLIZ,
S1911570337,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,73.87,,10804,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/BRICBTFYB,
S1911570278,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,85.47,,1294,95808,Tournament,0.05,0.20,https://www.fanduel.com/entry/ADTGABIBL,
S1911570275,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,90.37,,212,95808,Tournament,0.05,0.50,https://www.fanduel.com/entry/AEHDMSTZH,
S1911570270,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,80.67,,3837,95808,Tournament,0.05,0.15,https://www.fanduel.com/entry/AANVCAOOJ,
S1911570268,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,78.67,,5692,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/ABPQBJMKB,
S1911570263,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,75.77,,8210,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/ACDNOAYHX,
S1911570261,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,83.85,,1734,95808,Tournament,0.05,0.20,https://www.fanduel.com/entry/AGYQYCBON,
S1911570259,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,74.15,,10603,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/AHMOKTNMJ,
S1911570257,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,71.27,,15456,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/AIALXKZKF,
S1911570249,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,80.85,,3581,95808,Tournament,0.05,0.15,https://www.fanduel.com/entry/AFIYMBRUZ,
S1911570247,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,66.42,,29102,95808,Tournament,0.05,0,https://www.fanduel.com/entry/AFWVYTDSV,
S1911570240,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,61.47,,44602,95808,Tournament,0.05,0,https://www.fanduel.com/entry/ALFWVLSXH,
S1911570233,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,63.72,,38206,95808,Tournament,0.05,0,https://www.fanduel.com/entry/AMHRUUQSZ,
S1911570230,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,64.62,,35314,95808,Tournament,0.05,0,https://www.fanduel.com/entry/AMVPHMCQV,
S1911570228,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,55.22,,67293,95808,Tournament,0.05,0,https://www.fanduel.com/entry/AJCGWTXFX,
S1911570224,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,75.02,,9374,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/APNCSVKGB,
S1911570219,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,71.15,,15572,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/AQBAFMWDX,
S1911570215,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,67.32,,26340,95808,Tournament,0.05,0,https://www.fanduel.com/entry/AQOXSEIBT,
S1911570211,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,89.77,,509,95808,Tournament,0.05,0.25,https://www.fanduel.com/entry/ARCVEVTZP,
S1911570206,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,57.62,,58525,95808,Tournament,0.05,0,https://www.fanduel.com/entry/ANJMUDOOR,
S1911570202,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,84.17,,1701,95808,Tournament,0.05,0.20,https://www.fanduel.com/entry/ANXKGVAMN,
S1911570142,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,65.07,,33695,95808,Tournament,0.05,0,https://www.fanduel.com/entry/CAYIVVMLH,
S1911570138,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,74.47,,9834,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CBMGIMYJD,
S1911570134,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,83.25,,2126,95808,Tournament,0.05,0.15,https://www.fanduel.com/entry/CGHJSOBPT,
S1911570129,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,55.37,,67050,95808,Tournament,0.05,0,https://www.fanduel.com/entry/CGVHFFNNP,
S1911570127,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,75.87,,8096,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CHJERWZLL,
S1911570124,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,79.75,,4351,95808,Tournament,0.05,0.15,https://www.fanduel.com/entry/CHXCEOLJH,
S1911570121,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,58.10,,56315,95808,Tournament,0.05,0,https://www.fanduel.com/entry/CFFOTFDUB,
S1911570114,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,79.87,,4333,95808,Tournament,0.05,0.15,https://www.fanduel.com/entry/CLCNCPEWJ,
S1911570108,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,71.72,,14541,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CMEIBYCSB,
S1911570105,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,50.30,,83015,95808,Tournament,0.05,0,https://www.fanduel.com/entry/CIYXDXJEZ,
S1911570102,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,65.20,,33353,95808,Tournament,0.05,0,https://www.fanduel.com/entry/CJMUQOVCV,
S1911570100,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,68.52,,22562,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CKASDGHAR,
S1911570096,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,73.72,,11458,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CPJSZYWFD,
S1911570087,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,74.42,,10110,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CQLNZHUAV,
S1911570069,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,72.52,,13023,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/AHMOKPUNT,
S1911570063,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,77.60,,6564,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/AFIYLXYWJ,
S1911570056,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,84.12,,1723,95808,Tournament,0.05,0.20,https://www.fanduel.com/entry/AFWVYPKUF,
S1911570046,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,67.90,,24354,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/ALTUHZLWN,
S1911570037,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,75.47,,8609,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/AJCGWQEHH,
S1911570031,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,65.77,,31632,95808,Tournament,0.05,0,https://www.fanduel.com/entry/AJQEJHQFD,
S1911569997,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,60.45,,48793,95808,Tournament,0.05,0,https://www.fanduel.com/entry/CUSTWRLJP,
S1911569994,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,50.75,,82201,95808,Tournament,0.05,0,https://www.fanduel.com/entry/CRNIYQRWN,
S1911569990,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,70.85,,16082,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CSBGLIDUJ,
S1911569989,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,77.37,,6821,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CSPDXZPSF,
S1911569978,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,82.22,,2643,95808,Tournament,0.05,0.15,https://www.fanduel.com/entry/CXKHIASYV,
S1911569977,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,61.15,,45547,95808,Tournament,0.05,0,https://www.fanduel.com/entry/CXYEUSEWR,
S1911569973,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,67.67,,25529,95808,Tournament,0.05,0,https://www.fanduel.com/entry/CYMCHJQUN,
S1911569970,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,57.27,,60644,95808,Tournament,0.05,0,https://www.fanduel.com/entry/CVGRJIXHL,
S1911569965,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,80.97,,3451,95808,Tournament,0.05,0.15,https://www.fanduel.com/entry/CVUOWAJFH,
S1911569961,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,64.02,,37398,95808,Tournament,0.05,0,https://www.fanduel.com/entry/CWWJVJHAZ,
S1911569955,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,66.97,,27457,95808,Tournament,0.05,0,https://www.fanduel.com/entry/DBRNFKKHP,
S1911569952,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,90.67,,89,95808,Tournament,0.05,0.75,https://www.fanduel.com/entry/DCFKSBWFL,
S1911569944,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,59.87,,50695,95808,Tournament,0.05,0,https://www.fanduel.com/entry/DDHFRKUBD,
S1911569941,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,68.37,,23344,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CZNXGSOQF,
